
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1950,0,[0,0,0],[-0.036805,0.014355,0.044899],[-0.215746,0.451106,-0.098067],[0.349352,-0.145962,9.839287],[-0.039091,-0.092727,-0.028571],[-91,197,338]]
DATA[1990,0,[0,0,0],[-0.037110,0.013744,0.042455],[-0.156906,0.431493,-0.039227],[0.368495,-0.117248,9.805787],[-0.037273,-0.098182,-0.025510],[-87,195,337]]
DATA[2030,0,[0,0,0],[-0.035583,0.013592,0.043066],[-0.176520,0.411879,-0.078453],[0.373280,-0.117248,9.824930],[-0.038182,-0.092727,-0.029592],[-91,200,329]]
DATA[2070,0,[0,0,0],[-0.001527,0.013134,0.042302],[-0.156906,0.411879,-0.117680],[0.358923,-0.102891,9.820144],[-0.037273,-0.094545,-0.029592],[-88,198,332]]
DATA[2110,0,[0,0,0],[-0.038790,0.010690,0.046884],[-0.117680,0.392266,10.120462],[0.361316,-0.131605,9.791430],[-0.039091,-0.097273,-0.027551],[-88,194,336]]
DATA[2160,0,[0,0,0],[-0.034056,0.013439,0.044746],[-0.176520,0.411879,10.159690],[0.368495,-0.107677,9.820144],[-0.037273,-0.096364,-0.029592],[-91,196,330]]
DATA[2190,0,[0,0,0],[-0.000764,0.013134,0.047037],[-0.156906,-0.117680,-0.137293],[0.385244,-0.136391,9.810573],[-0.038182,-0.098182,-0.029592],[-89,193,329]]
DATA[2230,0,[0,0,0],[-0.001069,0.015882,0.045509],[-0.098067,0.431493,-0.156906],[0.373280,-0.155533,9.824930],[-0.040000,-0.094545,-0.029592],[-85,195,332]]
DATA[2280,0,[0,0,0],[-0.036957,0.016493,0.040317],[-0.176520,-0.137293,-0.156906],[0.373280,-0.150748,9.801002],[-0.036364,-0.098182,-0.025510],[-86,194,341]]
DATA[2320,0,[0,0,0],[-0.038485,0.010843,0.040470],[-0.137293,0.372653,-0.156906],[0.368495,-0.131605,9.815358],[-0.034545,-0.094545,-0.027551],[-86,201,338]]
DATA[2350,0,[0,0,0],[-0.032376,0.015730,0.044288],[-0.196133,0.411879,10.140077],[0.392423,-0.112463,9.796216],[-0.037273,-0.099091,-0.026531],[-89,194,332]]
DATA[2400,0,[0,0,0],[-0.000153,0.014813,0.041692],[-0.176520,0.431493,10.179303],[0.368495,-0.102891,9.777073],[-0.041818,-0.091818,-0.028571],[-81,190,340]]
DATA[2440,0,[0,0,0],[-0.037263,0.016952,0.043066],[-0.215746,0.392266,-0.137293],[0.373280,-0.160319,9.834501],[-0.036364,-0.097273,-0.025510],[-89,191,329]]
DATA[2480,0,[0,0,0],[-0.034361,0.014355,-0.000153],[-0.215746,0.411879,10.140077],[0.358923,-0.126820,9.829716],[-0.039091,-0.090909,-0.027551],[-95,186,332]]
DATA[2520,0,[0,0,0],[-0.034514,0.012523,0.043982],[-0.156906,-0.156906,-0.098067],[0.354138,-0.136391,9.772287],[-0.035455,-0.094545,-0.027551],[-83,193,336]]
DATA[2560,0,[0,0,0],[-0.039095,0.013744,0.042761],[-0.196133,0.431493,10.179303],[0.356531,-0.126820,9.820144],[-0.037273,-0.101818,-0.026531],[-94,195,335]]
DATA[2600,0,[0,0,0],[-0.000611,0.009316,0.044135],[-0.137293,0.372653,10.159690],[0.378066,-0.131605,9.858429],[-0.038182,-0.095455,-0.028571],[-90,190,340]]
DATA[2630,0,[0,0,0],[-0.031918,0.010232,0.042150],[-0.156906,0.353039,-0.137293],[0.366102,-0.136391,9.805787],[-0.040909,-0.097273,-0.025510],[-91,192,353]]
DATA[2670,0,[0,0,0],[-0.038943,0.019395,0.045815],[-0.137293,0.392266,10.179303],[0.385244,-0.112463,9.796216],[-0.040000,-0.094545,-0.027551],[-90,189,350]]
