
Thu Jan  1 00:00:01 1970

Flight Log #2
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[4530,0,[0,0,0],[-0.031612,0.011606,0.040164],[-0.254973,-0.117680,10.120462],[0.361316,-0.093320,9.824930],[-0.038182,-0.090909,-0.029592],[-90,194,332]]
DATA[4590,0,[0,0,0],[-0.035277,0.016493,-0.000916],[-0.196133,0.451106,10.120462],[0.358923,-0.131605,9.810573],[-0.035455,-0.100909,-0.025510],[-90,186,349]]
DATA[4640,0,[0,0,0],[-0.032987,0.011759,0.045204],[-0.274586,-0.156906,10.179303],[0.380459,-0.117248,9.820144],[-0.040000,-0.092727,-0.028571],[-95,191,327]]
DATA[4690,0,[0,0,0],[-0.037110,0.015119,0.040164],[-0.176520,0.431493,-0.156906],[0.351745,-0.131605,9.805787],[-0.039091,-0.098182,-0.027551],[-95,187,333]]
DATA[4750,0,[0,0,0],[-0.034361,0.014661,0.044899],[-0.196133,-0.156906,-0.156906],[0.366102,-0.131605,9.829716],[-0.037273,-0.099091,-0.028571],[-95,198,325]]
DATA[4810,0,[0,0,0],[-0.000305,0.014050,0.044899],[-0.235360,0.392266,10.081236],[0.366102,-0.136391,9.824930],[-0.038182,-0.097273,-0.025510],[-95,200,332]]
DATA[4860,0,[0,0,0],[-0.032834,0.011454,0.041386],[-0.176520,0.431493,-0.098067],[0.370888,-0.150748,9.839287],[-0.040909,-0.091818,-0.026531],[-95,198,333]]
DATA[4920,0,[0,0,0],[-0.000458,0.016799,0.044288],[-0.117680,0.451106,10.159690],[0.375673,-0.117248,9.796216],[-0.039091,-0.092727,-0.031633],[-92,190,328]]
DATA[4970,0,[0,0,0],[-0.003207,0.011454,0.043830],[-0.156906,0.431493,10.159690],[0.378066,-0.117248,9.801002],[-0.036364,-0.100909,-0.022449],[-93,197,327]]
DATA[5020,0,[0,0,0],[-0.034361,0.015119,0.044746],[-0.117680,-0.156906,-0.117680],[0.351745,-0.117248,9.810573],[-0.041818,-0.096364,-0.023469],[-92,193,339]]
