
Thu Jan  1 00:14:41 1970

Flight Log #18
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[7620, 0, [0,0,0], [-0.017715, 0.007330, -0.010537], [-4.000000, -12.000000, -8.000000], [0.040678, -0.083749, 9.820144], [0.017273, -0.073636, -0.481633], [-305, -37, 363]]
DATA[7820, 0, [0,0,0], [-0.021380, 0.012523, -0.006109], [-28.000000, -12.000000, -8.000000], [0.038285, -0.131605, 9.848858], [0.009091, -0.069091, -0.482653], [-312, -31, 352]]
DATA[8020, 0, [0,0,0], [-0.017562, 0.014813, -0.007941], [-28.000000, -12.000000, -4.000000], [0.021535, -0.112463, 9.810573], [0.010909, -0.068182, -0.482653], [-307, -36, 349]]
DATA[8220, 0, [0,0,0], [-0.018479, 0.009621, -0.003665], [-4.000000, -4.000000, 1056.000000], [0.033500, -0.088534, 9.801002], [0.014545, -0.074545, -0.481633], [-308, -36, 352]]
DATA[8420, 0, [0,0,0], [-0.017410, 0.007330, -0.007025], [-8.000000, -4.000000, 1060.000000], [0.043071, -0.160319, 9.834501], [0.014545, -0.073636, -0.480612], [-312, -32, 357]]
DATA[8620, 0, [0,0,0], [-0.020464, 0.015119, -0.010232], [-28.000000, -4.000000, 1060.000000], [0.026321, -0.122034, 9.815358], [0.009091, -0.068182, -0.482653], [-317, -29, 354]]
DATA[8810, 0, [0,0,0], [-0.018173, 0.014508, -0.008552], [-32.000000, -16.000000, 1060.000000], [0.028714, -0.107677, 9.820144], [0.010909, -0.073636, -0.480612], [-309, -35, 344]]
DATA[9010, 0, [0,0,0], [-0.022144, 0.015272, -0.010690], [-28.000000, -12.000000, -4.000000], [0.026321, -0.126820, 9.829716], [0.011818, -0.070000, -0.482653], [-309, -33, 362]]
DATA[9210, 0, [0,0,0], [-0.017715, 0.012217, -0.007025], [-28.000000, -4.000000, 1056.000000], [0.033500, -0.145962, 9.810573], [0.008182, -0.070909, -0.480612], [-320, -30, 353]]
DATA[9410, 0, [0,0,0], [-0.023671, 0.008552, -0.007941], [-8.000000, -16.000000, 1060.000000], [0.033500, -0.131605, 9.853643], [0.012727, -0.072727, -0.479592], [-304, -28, 366]]
DATA[9610, 0, [0,0,0], [-0.020464, 0.009163, -0.010537], [-8.000000, -12.000000, 1060.000000], [0.004786, -0.122034, 9.815358], [0.012727, -0.073636, -0.478571], [-313, -29, 355]]
DATA[9800, 0, [0,0,0], [-0.020159, 0.007330, -0.011912], [-4.000000, -16.000000, -4.000000], [0.045464, -0.122034, 9.791430], [0.014545, -0.070000, -0.480612], [-309, -37, 366]]
DATA[9990, 0, [0,0,0], [-0.019853, 0.016952, -0.008705], [-32.000000, -8.000000, -8.000000], [0.023928, -0.145962, 9.781859], [0.009091, -0.071818, -0.480612], [-312, -34, 368]]
DATA[10180, 0, [0,0,0], [-0.023213, 0.005956, -0.008399], [-8.000000, -4.000000, 1060.000000], [0.031107, -0.112463, 9.801002], [0.014545, -0.073636, -0.478571], [-315, -35, 362]]
DATA[10370, 0, [0,0,0], [-0.019853, 0.009468, -0.002138], [-28.000000, -8.000000, 1056.000000], [0.028714, -0.117248, 9.815358], [0.015455, -0.071818, -0.479592], [-311, -43, 357]]
DATA[10570, 0, [0,0,0], [-0.025962, 0.015424, -0.003665], [-8.000000, -8.000000, 1056.000000], [0.035892, -0.141177, 9.829716], [0.010000, -0.070000, -0.479592], [-311, -34, 355]]
DATA[10770, 0, [0,0,0], [-0.019242, 0.014813, -0.002902], [-8.000000, -16.000000, -4.000000], [0.052642, -0.107677, 9.810573], [0.013636, -0.074545, -0.480612], [-308, -31, 356]]
DATA[10970, 0, [0,0,0], [-0.014813, 0.016646, -0.016035], [-4.000000, -4.000000, 1060.000000], [0.028714, -0.112463, 9.820144], [0.010000, -0.070909, -0.480612], [-319, -38, 360]]
DATA[11170, 0, [0,0,0], [-0.020311, 0.014050, -0.006720], [-8.000000, -12.000000, -8.000000], [0.021535, -0.150748, 9.791430], [0.012727, -0.068182, -0.480612], [-305, -38, 352]]
DATA[11360, 0, [0,0,0], [-0.025504, 0.014203, -0.008399], [-8.000000, -16.000000, -4.000000], [0.011964, -0.122034, 9.829716], [0.013636, -0.073636, -0.477551], [-298, -31, 358]]
DATA[11550, 0, [0,0,0], [-0.019853, 0.015272, -0.005498], [-8.000000, -8.000000, 1060.000000], [0.074178, -0.136391, 9.805787], [0.017273, -0.073636, -0.478571], [-306, -33, 366]]
DATA[11750, 0, [0,0,0], [-0.020311, 0.012523, -0.007025], [-28.000000, -16.000000, 1060.000000], [0.004786, -0.150748, 9.834501], [0.009091, -0.067273, -0.480612], [-300, -34, 352]]
DATA[11940, 0, [0,0,0], [-0.022144, 0.010690, -0.008705], [-4.000000, -12.000000, 1060.000000], [0.047856, -0.117248, 9.815358], [0.010000, -0.069091, -0.480612], [-303, -29, 369]]
DATA[12140, 0, [0,0,0], [-0.021228, 0.014508, -0.003971], [-28.000000, -4.000000, -8.000000], [0.035892, -0.122034, 9.844072], [0.016364, -0.071818, -0.481633], [-301, -31, 364]]
DATA[12330, 0, [0,0,0], [-0.022755, 0.012370, -0.005345], [-4.000000, -8.000000, 1060.000000], [0.038285, -0.136391, 9.820144], [0.012727, -0.069091, -0.476531], [-300, -35, 373]]
DATA[12530, 0, [0,0,0], [-0.018479, 0.013744, -0.008247], [-8.000000, -4.000000, -4.000000], [0.028714, -0.112463, 9.786645], [0.012727, -0.071818, -0.479592], [-307, -36, 369]]
DATA[12720, 0, [0,0,0], [-0.022907, 0.010537, -0.012828], [-32.000000, -8.000000, 1060.000000], [0.033500, -0.112463, 9.820144], [0.015455, -0.074545, -0.478571], [-310, -45, 362]]
DATA[12920, 0, [0,0,0], [-0.020617, 0.015730, -0.009316], [-4.000000, -16.000000, 1060.000000], [0.043071, -0.102891, 9.844072], [0.010909, -0.068182, -0.477551], [-305, -35, 359]]
