
Thu Jan  1 00:00:01 1970

Flight Log #32
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.5'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[3670, 0, [0.004485,-0.053572,-3.141089],[0.000000,0.000000,0.000000],[-0.001804,0.026016,-0.000453], [0.044593, 0.002202, -0.025656], 14, [-0.137293, -0.549172, -0.039227], [-0.043830, -0.512082, 9.725549], [383.000000, 34.000000, -3.000000], [-284.918091, 44.026402, -717.903625],[-0.000574,-0.002428,0.002231,0.000771]]
DATA[3730, 0, [0.004335,-0.053538,-3.128720],[0.000000,0.000000,0.000000],[-0.001767,0.026019,-0.002445], [0.046426, 0.001896, -0.023213], 14, [-0.176520, -0.549172, -10.022396], [-0.049659, -0.504549, 9.729184], [383.000000, 35.000000, 515.000000], [-283.938995, 44.026402, -715.861206],[-0.000712,-0.002102,0.001765,0.001049]]
DATA[3790, 0, [0.004209,-0.053457,-3.116381],[0.000000,0.000000,0.000000],[-0.001713,0.025983,-0.015156], [0.045815, -0.010321, -0.025351], 14, [-0.098067, -0.549172, -0.039227], [-0.039344, -0.506477, 9.729250], [383.000000, 37.000000, -4.000000], [-280.022614, 45.027000, -710.755188],[-0.000716,-0.001718,0.001225,0.001209]]
DATA[3840, 0, [0.004379,-0.053542,-3.123017],[0.000000,0.000000,0.000000],[-0.001786,0.026110,-0.016718], [0.050091, -0.006045, -0.021686], 14, [-0.156906, -0.608012, -9.904716], [-0.037732, -0.509435, 9.732244], [383.000000, 33.000000, 513.000000], [-278.064392, 44.026402, -726.073181],[-0.001124,-0.001649,0.001372,0.001401]]
DATA[3900, 0, [0.004487,-0.053693,-3.114347],[0.000000,0.000000,0.000000],[-0.001861,0.026193,-0.047952], [0.037263, -0.011237, -0.031460], 14, [-0.117680, -0.509946, -10.022396], [-0.037111, -0.503896, 9.730947], [383.000000, 34.000000, -2.000000], [-280.022614, 46.027599, -715.861206],[-0.001019,-0.000728,0.000195,0.001553]]
DATA[3970, 0, [0.004779,-0.053363,-3.106919],[0.000000,0.000000,0.000000],[-0.001843,0.026145,-0.030154], [0.048258, -0.007267, -0.014355], 14, [-0.156906, -0.509946, -10.042009], [-0.033661, -0.498982, 9.724067], [-128.000000, 39.000000, -2.000000], [-294.709106, 48.028801, -709.734009],[-0.001300,-0.001411,0.000922,0.001789]]
DATA[4040, 0, [0.004751,-0.053187,-3.111556],[0.000000,0.000000,0.000000],[-0.001908,0.026078,-0.029253], [0.043677, -0.009405, -0.024129], 14, [-0.156906, -0.549172, -10.002783], [-0.038189, -0.498239, 9.711547], [-127.000000, 37.000000, -6.000000], [-290.792694, 47.028198, -720.967224],[-0.001067,-0.001022,0.000627,0.001462]]
DATA[4110, 0, [0.004800,-0.053087,-3.139454],[0.000000,0.000000,0.000000],[-0.001949,0.026039,-0.005526], [0.041844, -0.011848, -0.027489], 14, [-0.137293, -0.509946, -10.042009], [-0.036255, -0.495816, 9.719741], [383.000000, 42.000000, 512.000000], [-285.897186, 39.023399, -723.009583],[-0.000692,-0.001848,0.001592,0.000948]]
DATA[4180, 0, [0.004810,-0.053245,-3.115090],[0.000000,0.000000,0.000000],[-0.001946,0.026149,-0.023853], [0.056810, -0.004518, -0.025962], 14, [-0.098067, -0.509946, -0.039227], [-0.040485, -0.505993, 9.729082], [383.000000, 40.000000, -3.000000], [-279.043488, 46.027599, -730.158020],[-0.000952,-0.002125,0.001455,0.001622]]
DATA[4240, 0, [0.004619,-0.053291,-3.121804],[0.000000,0.000000,0.000000],[-0.001922,0.026172,-0.027051], [0.050091, -0.005129, -0.023824], 14, [-0.137293, -0.588399, -0.019613], [-0.048580, -0.504814, 9.735734], [-127.000000, 42.000000, -3.000000], [-289.813599, 44.026402, -718.924805],[-0.001373,-0.001441,0.001212,0.001603]]
DATA[4300, 0, [0.004176,-0.053108,-3.117151],[0.000000,0.000000,0.000000],[-0.001709,0.026159,0.006589], [0.049480, -0.001158, -0.029932], 14, [-0.137293, -0.509946, -10.002783], [-0.049381, -0.503395, 9.730757], [-127.000000, 41.000000, 514.000000], [-287.855408, 45.027000, -715.861206],[-0.000453,-0.002321,0.002279,0.000495]]
DATA[4350, 0, [0.003981,-0.053056,-3.120202],[0.000000,0.000000,0.000000],[-0.001683,0.026093,-0.008986], [0.043371, -0.007877, -0.025351], 14, [-0.156906, -0.529559, -0.078453], [-0.052100, -0.504019, 9.733254], [-127.000000, 44.000000, 512.000000], [-285.897186, 44.026402, -714.840027],[-0.000550,-0.001748,0.001368,0.000929]]
DATA[4420, 0, [0.003728,-0.053206,-3.139572],[0.000000,0.000000,0.000000],[-0.001574,0.026234,-0.017853], [0.043982, -0.011543, -0.019853], 14, [-0.196133, -0.568786, -10.002783], [-0.050615, -0.505235, 9.720303], [-128.000000, 41.000000, -1.000000], [-285.897186, 39.023399, -721.988403],[-0.000547,-0.001353,0.000937,0.000963]]
DATA[4480, 0, [0.003540,-0.053165,-3.111132],[0.000000,0.000000,0.000000],[-0.001562,0.026256,-0.017719], [0.045815, -0.013070, -0.030238], 14, [-0.117680, -0.529559, -10.022396], [-0.049669, -0.504747, 9.726296], [383.000000, 42.000000, -2.000000], [-291.771790, 47.028198, -717.903625],[-0.000440,-0.001636,0.000761,0.001316]]
DATA[4550, 0, [0.003578,-0.053195,-3.134078],[0.000000,0.000000,0.000000],[-0.001518,0.026347,-0.029853], [0.044899, -0.001463, -0.017715], 14, [-0.117680, -0.608012, -10.042009], [-0.044188, -0.508482, 9.728364], [-128.000000, 41.000000, -1.000000], [-284.918091, 40.023998, -711.776428],[-0.001481,-0.000913,0.000813,0.001581]]
DATA[4620, 0, [0.003689,-0.053341,-3.114752],[0.000000,0.000000,0.000000],[-0.001541,0.026463,-0.014418], [0.050702, -0.000242, -0.017715], 14, [-0.117680, -0.509946, -10.022396], [-0.040672, -0.507689, 9.735444], [380.000000, 36.000000, -3.000000], [-284.918091, 46.027599, -719.945984],[-0.000447,-0.001628,0.001314,0.000760]]
DATA[4690, 0, [0.003969,-0.053357,-3.118935],[0.000000,0.000000,0.000000],[-0.001678,0.026469,-0.020392], [0.044288, -0.006656, -0.023213], 14, [-0.117680, -0.490333, -10.042009], [-0.042032, -0.501500, 9.733878], [382.000000, 32.000000, -2.000000], [-287.855408, 45.027000, -721.988403],[-0.000956,-0.001420,0.001097,0.001279]]
DATA[4760, 0, [0.004261,-0.053352,-3.129606],[0.000000,0.000000,0.000000],[-0.001774,0.026470,0.008600], [0.039706, -0.009405, -0.027489], 14, [-0.156906, -0.117680, -0.039227], [-0.037462, -0.505730, 9.733109], [379.000000, 33.000000, 512.000000], [-282.959900, 42.025200, -724.030823],[-0.000301,-0.002424,0.001998,0.000726]]
DATA[4820, 0, [0.004346,-0.053295,-3.140195],[0.000000,0.000000,0.000000],[-0.001810,0.026507,-0.001223], [0.043371, -0.007267, -0.031154], 14, [-0.137293, -0.490333, -10.042009], [-0.037818, -0.502877, 9.733804], [382.000000, 37.000000, -2.000000], [-288.834503, 39.023399, -724.030823],[-0.000386,-0.002246,0.001684,0.000948]]
DATA[4890, 0, [0.004135,-0.053214,3.138674],[0.000000,0.000000,0.000000],[-0.001792,0.026455,-0.016122], [0.036957, -0.010321, -0.018021], 14, [-0.137293, -0.529559, -9.943943], [-0.043449, -0.503973, 9.740324], [381.000000, 37.000000, -2.000000], [-288.834503, 37.022202, -710.755188],[-0.001071,-0.001546,0.001349,0.001268]]
DATA[4960, 0, [0.004096,-0.053178,-3.139705],[0.000000,0.000000,0.000000],[-0.001716,0.026534,-0.027583], [0.040928, -0.004518, -0.022297], 14, [-0.156906, -0.588399, -0.039227], [-0.050974, -0.499388, 9.737682], [383.000000, 39.000000, -2.000000], [-287.855408, 39.023399, -723.009583],[-0.001338,-0.002039,0.001684,0.001692]]
DATA[5020, 0, [0.003670,-0.052985,3.138840],[0.000000,0.000000,0.000000],[-0.001580,0.026444,-0.023863], [0.050396, -0.010321, -0.030238], 14, [-0.078453, -0.529559, -10.042009], [-0.051981, -0.498955, 9.731670], [-128.000000, 40.000000, -1.000000], [-285.897186, 37.022202, -712.797607],[-0.000888,-0.001523,0.000841,0.001571]]
DATA[5080, 0, [0.003477,-0.053062,3.134307],[0.000000,0.000000,0.000000],[-0.001503,0.026554,0.006557], [0.044593, -0.014597, -0.019242], 14, [-0.176520, -0.549172, -10.002783], [-0.048419, -0.504168, 9.728070], [-127.000000, 42.000000, -4.000000], [-283.938995, 36.021599, -716.882385],[-0.000206,-0.002229,0.001496,0.000939]]
DATA[5140, 0, [0.003643,-0.053057,-3.105611],[0.000000,0.000000,0.000000],[-0.001638,0.026595,-0.016738], [0.043066, -0.006045, -0.029627], 15, [-0.098067, -0.509946, -9.963556], [-0.045903, -0.501848, 9.728595], [383.000000, 37.000000, 512.000000], [-287.855408, 48.028801, -710.755188],[-0.000944,-0.001521,0.001237,0.001228]]
DATA[5210, 0, [0.003566,-0.053006,-3.116909],[0.000000,0.000000,0.000000],[-0.001520,0.026618,-0.030199], [0.050396, -0.004823, -0.026878], 15, [-0.078453, -0.509946, -0.019613], [-0.046387, -0.495045, 9.726661], [-127.000000, 37.000000, 512.000000], [-281.001709, 45.027000, -718.924805],[-0.001415,-0.001494,0.001249,0.001660]]
DATA[5270, 0, [0.003426,-0.053653,-3.137059],[0.000000,0.000000,0.000000],[-0.001506,0.026626,-0.011077], [0.030238, -0.003601, -0.020464], 15, [-0.117680, -0.549172, -10.022396], [-0.044296, -0.498883, 9.730935], [383.000000, 40.000000, -1.000000], [-289.813599, 40.023998, -720.967224],[-0.000322,-0.000979,0.000792,0.000510]]
DATA[5340, 0, [0.003544,-0.053320,-3.117236],[0.000000,0.000000,0.000000],[-0.001554,0.026839,-0.030010], [0.041539, -0.000547, -0.018021], 15, [-0.117680, -0.529559, -0.058840], [-0.047162, -0.493013, 9.729099], [383.000000, 41.000000, 515.000000], [-288.834503, 45.027000, -712.797607],[-0.001380,-0.000814,0.000781,0.001413]]
