
Thu Jan  1 00:00:01 1970

Flight Log #28
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2680, 0, [0,0,0], [-0.017562, -0.014050, -0.143706], -7, [-0.176520, -0.058840, 10.453889], [0.009571, -0.169890, 9.887143], [-145.000000, -224.000000, -682.000000], [-113, -313, 166]]
DATA[2740, 0, [0,0,0], [-0.004887, -0.018784, -0.143706], -7, [-0.137293, -0.078453, 10.395049], [0.057428, -0.174676, 9.856036], [-150.000000, -220.000000, -683.000000], [-105, -317, 166]]
DATA[2800, 0, [0,0,0], [-0.010079, -0.015119, -0.143706], -7, [0.117680, -0.058840, 10.473502], [0.045464, -0.141177, 9.839287], [-153.000000, -221.000000, -684.000000], [-109, -322, 167]]
DATA[2870, 0, [0,0,0], [-0.010843, -0.015577, -0.148440], -7, [-0.156906, -0.058840, -0.156906], [0.016750, -0.155533, 9.824930], [-149.000000, -223.000000, -684.000000], [-107, -318, 174]]
DATA[2920, 0, [0,0,0], [-0.001069, -0.015272, -0.143859], -6, [-0.039227, -0.196133, 10.434276], [-0.035892, -0.239282, 9.853643], [-146.000000, -225.000000, -681.000000], [-108, -316, 170]]
DATA[2980, 0, [0,0,0], [-0.012370, 0.253967, -0.141721], -3846, [-0.058840, 0.039227, 10.355823], [0.114855, -0.179462, 9.856036], [-148.000000, -222.000000, -684.000000], [-109, -327, 169]]
DATA[3040, 0, [0,0,0], [-0.001985, -0.011301, -0.148135], -6, [0.372653, 0.019613, 10.355823], [0.090927, -0.117248, 9.772287], [-151.000000, -219.000000, -683.000000], [-112, -314, 172]]
DATA[3100, 0, [0,0,0], [-0.002443, -0.016188, -0.140346], -6, [-0.117680, -0.294199, 10.493115], [0.136391, -0.184247, 9.829716], [-152.000000, -225.000000, -680.000000], [-107, -318, 180]]
DATA[3160, 0, [0,0,0], [-0.008247, -0.017104, -0.145844], -6, [-0.196133, 0.039227, -0.156906], [0.069392, -0.141177, 9.808180], [-148.000000, -223.000000, -680.000000], [-114, -320, 176]]
DATA[3220, 0, [0,0,0], [0.042913, -0.018173, -0.146913], -6, [-0.196133, -0.098067, -0.078453], [0.244068, -0.157926, 9.769895], [-151.000000, -218.000000, -684.000000], [-111, -325, 174]]
DATA[3280, 0, [0,0,0], [-0.002138, 0.246790, -0.146302], -6, [0.666852, 0.019613, 10.159690], [0.076570, -0.100499, 9.755538], [-150.000000, -221.000000, -684.000000], [-114, -321, 174]]
DATA[3340, 0, [0,0,0], [0.009010, -0.019548, -0.151495], -6, [-0.098067, 0.078453, 10.669636], [0.007178, -0.047856, 9.757931], [-150.000000, -219.000000, -679.000000], [-103, -312, 175]]
DATA[3400, 0, [0,0,0], [0.015119, -0.014355, -0.144164], -6, [0.000000, -0.019613, -0.137293], [0.021535, -0.356531, 9.865608], [-148.000000, -224.000000, -682.000000], [-107, -320, 175]]
DATA[3470, 0, [0,0,0], [-0.004887, -0.014050, -0.147219], -6, [-0.196133, -0.019613, 10.689249], [0.043071, 0.057428, 9.722038], [-147.000000, -222.000000, -682.000000], [-111, -323, 176]]
DATA[3520, 0, [0,0,0], [0.039401, -0.007330, -0.137750], -6, [-0.078453, -0.137293, -0.098067], [0.155533, -0.210568, 9.446864], [-150.000000, -218.000000, -679.000000], [-109, -320, 177]]
DATA[3580, 0, [0,0,0], [0.052993, -0.007330, -0.145997], -6, [0.078453, -0.156906, -0.058840], [0.083749, -0.031107, 9.899107], [-152.000000, -217.000000, -680.000000], [-112, -323, 170]]
