
Thu Jan  1 00:00:43 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[3550, 0, [0,0,0], [-0.002145, 0.017651, 0.058955], 10, [-0.137293, -0.137293, 10.179303], [-0.034491, -0.201604, 9.750999], [8.000000, 320.000000, -95.000000], [2.937300, 192.115204, -526.939209]]
DATA[3600, 0, [0,0,0], [-0.006574, 0.020400, 0.059871], 10, [-0.019613, -0.215746, 10.355823], [-0.051304, -0.178040, 9.693798], [8.000000, 319.000000, -98.000000], [0.000000, 203.121796, -536.130005]]
DATA[3660, 0, [0,0,0], [-0.001687, 0.025134, 0.057275], 10, [-0.137293, -0.196133, 10.375436], [-0.063313, -0.234594, 9.741466], [8.000000, 317.000000, -97.000000], [1.958200, 188.112793, -533.066406]]
DATA[3720, 0, [0,0,0], [-0.003520, 0.022080, 0.009475], 10, [-0.019613, -0.196133, -0.117680], [-0.053705, -0.229881, 9.712865], [7.000000, 319.000000, -98.000000], [-2.937300, 191.114594, -531.023987]]
DATA[3780, 0, [0,0,0], [-0.038339, 0.024523, 0.059107], 10, [-0.117680, -0.176520, -0.058840], [-0.032089, -0.229881, 9.717631], [13.000000, 320.000000, -96.000000], [-0.979100, 195.117004, -528.981628]]
DATA[3840, 0, [0,0,0], [-0.003367, 0.019942, 0.065827], 10, [-0.058840, -0.137293, -0.058840], [-0.048902, -0.215743, 9.689032], [13.000000, 322.000000, -95.000000], [5.874600, 201.120605, -531.023987]]
DATA[3900, 0, [0,0,0], [-0.004130, 0.025745, 0.052235], 10, [-0.098067, -0.215746, 10.395049], [-0.056107, -0.220456, 9.693798], [16.000000, 320.000000, -98.000000], [4.895500, 190.113998, -537.151184]]
DATA[3960, 0, [0,0,0], [-0.039408, 0.020553, 0.059871], 10, [-0.078453, -0.176520, -0.058840], [-0.044098, -0.244020, 9.727165], [19.000000, 319.000000, -97.000000], [1.958200, 195.117004, -534.087585]]
DATA[4030, 0, [0,0,0], [-0.002909, 0.020400, 0.057580], 10, [-0.117680, -0.215746, 10.355823], [-0.046500, -0.215743, 9.708098], [14.000000, 318.000000, -99.000000], [10.770100, 193.115799, -538.172424]]
DATA[4080, 0, [0,0,0], [-0.001076, 0.022080, 0.058191], 10, [-0.098067, -0.196133, 10.395049], [-0.034491, -0.229881, 9.736699], [16.000000, 319.000000, -100.000000], [0.979100, 190.113998, -531.023987]]
