
Thu Jan  1 00:00:01 1970

Flight Log #31
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2780, 0, [0,0,0], [-0.005831, 0.007076, -0.018901], 17, [-0.078453, -0.235360, -0.137293], [-0.028714, -0.074178, 9.875179], [-166.000000, -204.000000, -96.000000], [-71, -192, 336]]
DATA[2840, 0, [0,0,0], [-0.003388, 0.008145, -0.025010], 17, [-0.137293, -0.156906, -0.098067], [0.047856, -0.083749, 9.844072], [-162.000000, -203.000000, -94.000000], [-71, -194, 329]]
DATA[2910, 0, [0,0,0], [0.000125, 0.006771, -0.025163], 17, [-0.039227, -0.176520, -0.137293], [-0.009571, -0.083749, 9.815358], [-160.000000, -206.000000, -94.000000], [-72, -193, 349]]
DATA[2960, 0, [0,0,0], [-0.004151, 0.008603, -0.026079], 17, [-0.176520, -0.137293, 10.100849], [0.026321, -0.160319, 9.848858], [-164.000000, -203.000000, -95.000000], [-67, -192, 338]]
DATA[3020, 0, [0,0,0], [-0.004762, 0.006465, -0.027454], 17, [-0.078453, -0.215746, -0.137293], [0.009571, -0.112463, 9.877572], [-165.000000, -207.000000, -95.000000], [-80, -182, 341]]
DATA[3080, 0, [0,0,0], [-0.002624, 0.007992, 0.007671], 17, [-0.098067, -0.156906, 10.355823], [0.019143, -0.107677, 9.839287], [-161.000000, -205.000000, -90.000000], [-68, -194, 345]]
DATA[3140, 0, [0,0,0], [-0.001860, 0.007229, -0.024246], 17, [-0.176520, -0.117680, -0.078453], [-0.004786, -0.117248, 9.844072], [-162.000000, -208.000000, -94.000000], [-65, -193, 340]]
DATA[3200, 0, [0,0,0], [-0.005220, 0.006618, -0.024857], 17, [-0.137293, -0.156906, -0.039227], [0.011964, -0.107677, 9.786645], [-161.000000, -203.000000, -97.000000], [-66, -194, 331]]
DATA[3260, 0, [0,0,0], [-0.003235, 0.009978, -0.023941], 17, [-0.058840, -0.156906, -0.039227], [-0.002393, -0.083749, 9.839287], [-165.000000, -204.000000, -96.000000], [-70, -199, 345]]
DATA[3320, 0, [0,0,0], [-0.005526, 0.006160, -0.025163], 17, [-0.117680, -0.098067, -0.058840], [-0.002393, -0.141177, 9.801002], [-161.000000, -205.000000, -95.000000], [-69, -186, 346]]
DATA[3380, 0, [0,0,0], [0.002416, 0.005091, -0.026537], 17, [-0.098067, -0.117680, -0.078453], [0.009571, -0.122034, 9.844072], [-158.000000, -205.000000, -95.000000], [-75, -195, 338]]
DATA[3440, 0, [0,0,0], [-0.001555, 0.012269, -0.021345], 17, [-0.098067, -0.176520, -0.078453], [0.033500, -0.126820, 9.829716], [-165.000000, -206.000000, -98.000000], [-64, -198, 338]]
DATA[3500, 0, [0,0,0], [-0.002777, 0.012421, -0.023788], 17, [-0.156906, -0.117680, 10.375436], [0.009571, -0.102891, 9.834501], [-169.000000, -201.000000, -96.000000], [-71, -188, 339]]
DATA[3560, 0, [0,0,0], [-0.001402, -0.021940, -0.021803], 17, [-0.058840, -0.137293, -0.117680], [0.004786, -0.098106, 9.839287], [-163.000000, -206.000000, -95.000000], [-66, -188, 341]]
DATA[3620, 0, [0,0,0], [-0.003998, 0.010283, -0.022719], 17, [-0.078453, -0.176520, -0.058840], [0.028714, -0.088534, 9.829716], [-158.000000, -205.000000, -95.000000], [-71, -194, 340]]
DATA[3680, 0, [0,0,0], [-0.003693, 0.009672, -0.020276], 17, [-0.156906, -0.215746, -0.156906], [0.028714, -0.117248, 9.863214], [-165.000000, -202.000000, -95.000000], [-68, -188, 348]]
DATA[3740, 0, [0,0,0], [-0.003540, 0.006465, -0.026232], 17, [-0.137293, -0.215746, -0.117680], [0.000000, -0.112463, 9.824930], [-164.000000, -207.000000, -93.000000], [-66, -188, 347]]
DATA[3800, 0, [0,0,0], [-0.000791, -0.021634, 0.008129], 17, [-0.117680, -0.254973, -0.078453], [0.026321, -0.136391, 9.832108], [-163.000000, -207.000000, -96.000000], [-71, -196, 341]]
DATA[3860, 0, [0,0,0], [-0.005373, 0.004175, 0.010573], 17, [-0.137293, -0.019613, -0.117680], [0.028714, -0.141177, 9.860822], [-160.000000, -208.000000, -92.000000], [-68, -197, 325]]
DATA[3920, 0, [0,0,0], [-0.002624, 0.009825, -0.025163], 17, [-0.215746, -0.274586, -0.098067], [-0.016750, -0.193819, 9.858429], [-165.000000, -202.000000, -95.000000], [-69, -190, 336]]
DATA[3980, 0, [0,0,0], [-0.000181, 0.009978, -0.023941], 17, [-0.039227, -0.156906, -0.078453], [0.045464, -0.093320, 9.805787], [-161.000000, -202.000000, -97.000000], [-70, -202, 348]]
DATA[4040, 0, [0,0,0], [-0.000944, 0.005702, -0.022261], 17, [-0.156906, -0.117680, 10.159690], [0.026321, -0.088534, 9.839287], [-162.000000, -204.000000, -94.000000], [-67, -195, 328]]
DATA[4100, 0, [0,0,0], [-0.003846, 0.004480, -0.023941], 17, [-0.039227, -0.156906, -0.058840], [0.031107, -0.093320, 9.834501], [-164.000000, -205.000000, -94.000000], [-75, -194, 342]]
DATA[4160, 0, [0,0,0], [-0.005067, 0.007840, -0.016458], 17, [-0.176520, -0.176520, -0.098067], [-0.009571, -0.112463, 9.805787], [-163.000000, -203.000000, -94.000000], [-66, -193, 338]]
DATA[4220, 0, [0,0,0], [-0.001250, 0.010894, -0.021803], 17, [-0.098067, -0.058840, -0.058840], [0.009571, -0.083749, 9.781859], [-162.000000, -205.000000, -95.000000], [-69, -194, 342]]
DATA[4280, 0, [0,0,0], [-0.004762, 0.007076, 0.009351], 17, [-0.196133, -0.156906, 10.179303], [0.023928, -0.098106, 9.829716], [-161.000000, -206.000000, -94.000000], [-73, -192, 344]]
DATA[4340, 0, [0,0,0], [0.001347, 0.005549, -0.025774], 17, [-0.098067, -0.098067, -0.098067], [0.000000, -0.122034, 9.820144], [-161.000000, -205.000000, -91.000000], [-66, -190, 342]]
DATA[4400, 0, [0,0,0], [-0.000333, 0.004175, -0.020123], 17, [-0.098067, -0.137293, -0.058840], [0.083749, -0.198604, 9.844072], [-166.000000, -207.000000, -96.000000], [-64, -206, 346]]
DATA[4460, 0, [0,0,0], [-0.000333, -0.000712, -0.020734], 17, [-0.078453, 0.019613, 10.140077], [-0.177069, -0.043071, 9.875179], [-164.000000, -206.000000, -95.000000], [-71, -193, 330]]
DATA[4520, 0, [0,0,0], [-0.006442, 0.009061, -0.022108], 17, [-0.215746, -0.039227, -0.019613], [-0.172283, -0.184247, 10.035499], [-163.000000, -204.000000, -94.000000], [-74, -187, 343]]
DATA[4580, 0, [0,0,0], [-0.002777, 0.010589, -0.026537], 17, [-0.215746, -0.274586, -0.019613], [0.210568, -0.205783, 9.781859], [-163.000000, -204.000000, -99.000000], [-71, -195, 344]]
DATA[4640, 0, [0,0,0], [-0.005678, 0.009978, -0.026995], 17, [-0.274586, -0.117680, -0.078453], [0.028714, -0.081356, 9.791430], [-165.000000, -199.000000, -95.000000], [-72, -185, 343]]
DATA[4710, 0, [0,0,0], [-0.001097, 0.005549, -0.024094], 17, [-0.156906, -0.078453, -0.137293], [-0.004786, -0.131605, 9.851251], [-165.000000, -205.000000, -95.000000], [-67, -188, 348]]
DATA[4760, 0, [0,0,0], [-0.004915, 0.005244, -0.019970], 17, [-0.019613, -0.156906, -0.117680], [0.131605, -0.198604, 9.829716], [-159.000000, -209.000000, -93.000000], [-63, -192, 335]]
DATA[4830, 0, [0,0,0], [-0.003082, 0.004633, -0.023636], 17, [-0.019613, -0.078453, 10.414662], [-0.019143, -0.145962, 9.848858], [-163.000000, -204.000000, -96.000000], [-62, -190, 339]]
DATA[4880, 0, [0,0,0], [-0.002624, 0.005244, -0.024705], 17, [-0.137293, -0.156906, 10.159690], [0.031107, -0.122034, 9.824930], [-166.000000, -203.000000, -96.000000], [-74, -189, 342]]
DATA[4950, 0, [0,0,0], [-0.001708, 0.002495, -0.027759], 17, [-0.078453, -0.137293, -0.098067], [0.052642, -0.131605, 9.839287], [-165.000000, -204.000000, -95.000000], [-71, -193, 340]]
DATA[5010, 0, [0,0,0], [-0.000486, 0.006618, -0.021650], 17, [-0.098067, -0.176520, -0.137293], [-0.016750, -0.083749, 9.820144], [-161.000000, -205.000000, -95.000000], [-68, -193, 350]]
DATA[5070, 0, [0,0,0], [-0.003082, 0.007687, -0.023941], 17, [-0.196133, -0.137293, -0.039227], [0.002393, -0.117248, 9.824930], [-161.000000, -205.000000, -95.000000], [-69, -186, 357]]
DATA[5130, 0, [0,0,0], [-0.004762, 0.006465, -0.024552], 17, [-0.137293, -0.156906, -0.019613], [-0.011964, -0.141177, 9.815358], [-165.000000, -200.000000, -96.000000], [-71, -191, 348]]
DATA[5190, 0, [0,0,0], [-0.006136, 0.004480, -0.017985], 17, [-0.254973, -0.117680, 10.159690], [0.028714, -0.122034, 9.875179], [-162.000000, -207.000000, -93.000000], [-66, -196, 344]]
DATA[5250, 0, [0,0,0], [0.001041, 0.010589, -0.027606], 17, [-0.078453, -0.294199, -0.078453], [0.002393, -0.028714, 9.894321], [-163.000000, -208.000000, -94.000000], [-66, -193, 347]]
DATA[5310, 0, [0,0,0], [-0.005831, 0.007534, -0.024705], 17, [-0.254973, -0.058840, -0.039227], [0.019143, -0.064606, 9.753145], [-164.000000, -207.000000, -94.000000], [-57, -192, 342]]
DATA[5370, 0, [0,0,0], [-0.007664, 0.007992, -0.027148], 17, [-0.137293, -0.176520, -0.058840], [-0.007178, -0.102891, 9.805787], [-164.000000, -203.000000, -94.000000], [-66, -185, 348]]
DATA[5440, 0, [0,0,0], [-0.001250, 0.009520, -0.025163], 17, [0.019613, -0.176520, -0.019613], [-0.023928, -0.098106, 9.858429], [-162.000000, -204.000000, -92.000000], [-71, -189, 344]]
DATA[5490, 0, [0,0,0], [0.001652, 0.007076, 0.009962], 17, [-0.196133, -0.156906, 10.375436], [0.086142, -0.205783, 9.793823], [-164.000000, -203.000000, -94.000000], [-69, -197, 335]]
DATA[5550, 0, [0,0,0], [-0.002166, 0.010741, -0.025621], 17, [-0.098067, -0.215746, 10.375436], [0.248854, -0.074178, 9.853643], [-160.000000, -205.000000, -96.000000], [-70, -198, 348]]
DATA[5610, 0, [0,0,0], [-0.001860, 0.009214, -0.024552], 17, [-0.098067, -0.215746, -0.098067], [0.081356, -0.198604, 9.829716], [-163.000000, -203.000000, -95.000000], [-66, -191, 346]]
DATA[5670, 0, [0,0,0], [-0.000639, 0.011658, -0.021039], 17, [-0.215746, -0.254973, -0.058840], [0.081356, -0.210568, 9.934999], [-162.000000, -206.000000, -93.000000], [-74, -193, 357]]
DATA[5730, 0, [0,0,0], [-0.007053, 0.006465, -0.023636], 17, [-0.137293, -0.058840, -0.117680], [0.133998, 0.162712, 9.786645], [-160.000000, -206.000000, -99.000000], [-71, -191, 340]]
DATA[5790, 0, [0,0,0], [-0.007664, 0.006007, 0.008129], 17, [-0.254973, 0.098067, 10.120462], [0.236889, -0.196211, 9.817751], [-165.000000, -201.000000, -98.000000], [-77, -192, 343]]
DATA[5850, 0, [0,0,0], [-0.005373, 0.012727, -0.024705], 17, [-0.117680, -0.196133, -0.156906], [0.074178, -0.040678, 9.824930], [-162.000000, -207.000000, -94.000000], [-70, -192, 342]]
DATA[5910, 0, [0,0,0], [-0.012856, 0.007382, -0.027606], 17, [-0.274586, -0.294199, 10.100849], [-0.215354, -0.203390, 9.812965], [-166.000000, -204.000000, -96.000000], [-75, -189, 339]]
DATA[5980, 0, [0,0,0], [-0.004915, 0.008145, -0.024246], 17, [-0.176520, -0.215746, -0.117680], [0.023928, -0.174676, 9.815358], [-162.000000, -208.000000, -92.000000], [-82, -196, 348]]
DATA[6030, 0, [0,0,0], [-0.002471, 0.005702, -0.024246], 17, [-0.215746, -0.156906, -0.039227], [0.009571, -0.059821, 9.848858], [-166.000000, -204.000000, -98.000000], [-73, -194, 348]]
DATA[6090, 0, [0,0,0], [-0.004304, 0.007382, -0.022567], 17, [-0.098067, -0.235360, -0.137293], [0.038285, -0.112463, 9.810573], [-162.000000, -206.000000, -93.000000], [-69, -192, 326]]
DATA[6150, 0, [0,0,0], [-0.003693, 0.006007, -0.023330], 17, [-0.019613, -0.117680, -0.078453], [-0.004786, -0.064606, 9.824930], [-163.000000, -207.000000, -96.000000], [-75, -195, 343]]
DATA[6220, 0, [0,0,0], [-0.005984, 0.006313, -0.022567], 17, [0.039227, -0.176520, -0.058840], [0.000000, -0.093320, 9.820144], [-167.000000, -203.000000, -93.000000], [-70, -194, 342]]
DATA[6270, 0, [0,0,0], [-0.012398, 0.008451, -0.018443], 17, [-0.176520, -0.137293, -0.117680], [0.026321, -0.093320, 9.815358], [-164.000000, -208.000000, -91.000000], [-75, -188, 342]]
DATA[6340, 0, [0,0,0], [-0.002319, 0.003258, 0.008282], 17, [-0.137293, -0.078453, -0.019613], [0.033500, -0.102891, 9.796216], [-163.000000, -202.000000, -93.000000], [-73, -183, 338]]
DATA[6390, 0, [0,0,0], [-0.002624, 0.007840, -0.023636], 17, [-0.117680, -0.176520, -0.058840], [0.019143, -0.102891, 9.853643], [-162.000000, -208.000000, -93.000000], [-77, -189, 341]]
DATA[6450, 0, [0,0,0], [-0.005220, 0.003411, -0.024552], 17, [-0.117680, -0.176520, 10.179303], [0.014357, -0.117248, 9.815358], [-163.000000, -204.000000, -97.000000], [-78, -191, 341]]
DATA[6510, 0, [0,0,0], [-0.008274, 0.010741, -0.023177], 17, [-0.098067, -0.176520, 10.453889], [0.000000, -0.107677, 9.863214], [-161.000000, -206.000000, -92.000000], [-75, -185, 334]]
DATA[6570, 0, [0,0,0], [-0.002777, 0.008298, -0.028064], 17, [-0.098067, -0.156906, -0.039227], [0.002393, -0.107677, 9.805787], [-163.000000, -204.000000, -96.000000], [-70, -190, 339]]
DATA[6630, 0, [0,0,0], [-0.000333, 0.008145, -0.023483], 17, [-0.039227, -0.078453, -0.137293], [-0.009571, -0.088534, 9.834501], [-165.000000, -204.000000, -97.000000], [-77, -187, 339]]
DATA[6690, 0, [0,0,0], [-0.004762, 0.006007, -0.025926], 17, [-0.117680, -0.137293, 10.159690], [0.009571, -0.122034, 9.824930], [-160.000000, -204.000000, -93.000000], [-74, -196, 334]]
DATA[6760, 0, [0,0,0], [-0.003235, 0.007992, -0.023330], 17, [-0.117680, -0.137293, -0.019613], [0.000000, -0.122034, 9.824930], [-166.000000, -206.000000, -95.000000], [-67, -192, 331]]
DATA[6810, 0, [0,0,0], [-0.008885, 0.002800, -0.024857], 17, [-0.058840, -0.176520, -0.117680], [0.031107, -0.102891, 9.839287], [-161.000000, -204.000000, -94.000000], [-71, -186, 344]]
DATA[6870, 0, [0,0,0], [-0.006289, 0.003106, 0.009351], 17, [-0.058840, -0.156906, -0.098067], [-0.004786, -0.107677, 9.777073], [-166.000000, -204.000000, -95.000000], [-70, -191, 339]]
DATA[6930, 0, [0,0,0], [-0.013009, 0.008451, -0.027759], 17, [-0.117680, -0.137293, -0.098067], [-0.007178, -0.122034, 9.810573], [-162.000000, -207.000000, -95.000000], [-68, -184, 336]]
DATA[6990, 0, [0,0,0], [-0.006747, 0.008298, -0.023941], 17, [-0.078453, -0.156906, -0.098067], [0.007178, -0.131605, 9.829716], [-164.000000, -202.000000, -99.000000], [-76, -188, 351]]
DATA[7060, 0, [0,0,0], [0.000278, 0.004633, -0.026843], 17, [-0.137293, -0.176520, -0.019613], [0.002393, -0.098106, 9.858429], [-164.000000, -204.000000, -93.000000], [-64, -186, 339]]
DATA[7110, 0, [0,0,0], [-0.004762, 0.005244, 0.010267], 17, [-0.156906, -0.176520, 10.179303], [0.009571, -0.102891, 9.844072], [-160.000000, -203.000000, -96.000000], [-75, -192, 340]]
