
Thu Jan  1 00:00:01 1970

Flight Log #13
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2220, 0, [0,0,0], [-0.005810, 0.022996, 0.064605], 10, [-0.117680, -0.215746, -0.019613], [-0.072920, -0.234594, 9.741466], [50.000000, 326.000000, -91.000000], [48.955002, 186.111603, -535.108826]]
DATA[2280, 0, [0,0,0], [-0.010392, 0.021469, 0.065521], 10, [-0.137293, -0.215746, -0.058840], [-0.060911, -0.248733, 9.722398], [55.000000, 325.000000, -93.000000], [44.059502, 183.109802, -531.023987]]
DATA[2340, 0, [0,0,0], [-0.008865, 0.026509, 0.060176], 10, [0.058840, -0.235360, -0.098067], [-0.068116, -0.248733, 9.708098], [47.000000, 323.000000, -91.000000], [47.975899, 188.112793, -533.066406]]
DATA[2400, 0, [0,0,0], [-0.011308, 0.022691, 0.067201], 10, [-0.254973, -0.274586, -0.019613], [-0.053705, -0.239307, 9.708098], [54.000000, 326.000000, -92.000000], [47.975899, 189.113403, -534.087585]]
DATA[2460, 0, [0,0,0], [-0.017111, 0.025745, 0.060329], 10, [-0.137293, -0.176520, -0.117680], [-0.072920, -0.239307, 9.717631], [54.000000, 325.000000, -93.000000], [51.892300, 179.107407, -530.002808]]
DATA[2530, 0, [0,0,0], [-0.010392, 0.015819, 0.055748], 10, [-0.098067, -0.235360, 10.355823], [-0.072920, -0.220456, 9.708098], [52.000000, 323.000000, -93.000000], [50.913200, 178.106796, -525.918030]]
DATA[2580, 0, [0,0,0], [-0.009628, 0.024371, 0.062925], 10, [-0.078453, -0.254973, -0.019613], [-0.072920, -0.262872, 9.741466], [53.000000, 324.000000, -95.000000], [54.829601, 170.102005, -533.066406]]
DATA[2640, 0, [0,0,0], [-0.007643, -0.007394, 0.062467], 10, [-0.117680, -0.235360, -0.098067], [-0.106545, -0.286436, 9.693798], [50.000000, 321.000000, -92.000000], [54.829601, 174.104401, -538.172424]]
DATA[2700, 0, [0,0,0], [-0.014515, 0.023454, 0.067049], 10, [-0.156906, -0.117680, -0.019613], [-0.056107, -0.253446, 9.717631], [51.000000, 324.000000, -92.000000], [58.745998, 185.110992, -531.023987]]
DATA[2770, 0, [0,0,0], [-0.012224, 0.021164, 0.065369], 10, [-0.117680, -0.176520, -0.019613], [-0.046500, -0.262872, 9.708098], [52.000000, 323.000000, -94.000000], [60.704201, 168.100800, -533.066406]]
DATA[2820, 0, [0,0,0], [-0.010392, 0.026203, 0.063383], 10, [-0.019613, -0.254973, 10.061623], [-0.046500, -0.248733, 9.727165], [45.000000, 323.000000, -93.000000], [49.934101, 178.106796, -532.045227]]
DATA[2880, 0, [0,0,0], [-0.019402, 0.025745, 0.061704], 10, [-0.098067, -0.235360, -0.039227], [-0.063313, -0.196891, 9.693798], [44.000000, 323.000000, -92.000000], [55.808701, 185.110992, -530.002808]]
DATA[2940, 0, [0,0,0], [-0.009934, 0.019484, 0.061398], 10, [-0.137293, -0.196133, -0.058840], [-0.080125, -0.215743, 9.727165], [40.000000, 326.000000, -91.000000], [59.725101, 172.103195, -531.023987]]
DATA[3000, 0, [0,0,0], [-0.011766, 0.023607, 0.060176], 10, [-0.098067, -0.215746, 10.375436], [-0.072920, -0.220456, 9.717631], [45.000000, 325.000000, -89.000000], [54.829601, 171.102600, -527.960388]]
DATA[3060, 0, [0,0,0], [-0.016348, 0.022233, 0.062773], 10, [-0.098067, -0.274586, 10.375436], [-0.044098, -0.225169, 9.712865], [39.000000, 324.000000, -89.000000], [46.996799, 180.108002, -526.939209]]
DATA[3120, 0, [0,0,0], [-0.012683, 0.023607, 0.060329], 10, [-0.078453, -0.196133, -0.117680], [-0.046500, -0.248733, 9.727165], [44.000000, 326.000000, -86.000000], [49.934101, 181.108597, -525.918030]]
DATA[3190, 0, [0,0,0], [-0.008712, 0.022385, 0.064605], 10, [-0.058840, -0.156906, 10.355823], [-0.075322, -0.248733, 9.689032], [45.000000, 328.000000, -92.000000], [54.829601, 179.107407, -532.045227]]
DATA[3240, 0, [0,0,0], [-0.011614, 0.025287, 0.067965], 10, [-0.058840, -0.215746, -0.039227], [-0.053705, -0.225169, 9.741466], [47.000000, 325.000000, -91.000000], [52.871399, 182.109207, -523.875610]]
DATA[3300, 0, [0,0,0], [-0.016806, -0.009227, 0.061856], 10, [-0.117680, -0.215746, 10.355823], [-0.072920, -0.192178, 9.755766], [44.000000, 322.000000, -90.000000], [54.829601, 177.106201, -538.172424]]
DATA[3360, 0, [0,0,0], [-0.013599, 0.025287, 0.062314], 10, [-0.098067, -0.176520, 10.355823], [-0.082527, -0.248733, 9.731933], [46.000000, 327.000000, -94.000000], [50.913200, 178.106796, -531.023987]]
DATA[3420, 0, [0,0,0], [-0.013446, 0.024829, 0.062162], 10, [-0.058840, -0.117680, -0.058840], [-0.051304, -0.229881, 9.731933], [46.000000, 327.000000, -87.000000], [51.892300, 178.106796, -540.214783]]
DATA[3480, 0, [0,0,0], [-0.014973, -0.006020, 0.067049], 10, [-0.019613, -0.019613, -0.117680], [-0.077723, -0.248733, 9.698565], [46.000000, 327.000000, -90.000000], [57.766899, 171.102600, -530.002808]]
DATA[3540, 0, [0,0,0], [-0.008254, 0.022691, 0.059107], 10, [-0.098067, -0.313813, 10.434276], [-0.060911, -0.262872, 9.746232], [47.000000, 324.000000, -88.000000], [50.913200, 183.109802, -535.108826]]
DATA[3610, 0, [0,0,0], [-0.011919, 0.015819, 0.061398], 10, [-0.137293, -0.176520, -0.058840], [-0.063313, -0.272297, 9.727165], [52.000000, 325.000000, -93.000000], [48.955002, 174.104401, -532.045227]]
