
Thu Jan  1 00:00:01 1970

Flight Log #6
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[5960, 0, [0,0,0], [-0.005047, 0.023454, 0.061551], 11, [-0.046500, -0.245836, 10.260734], [-0.035892, -0.150748, 9.815358], [210.506500, 32.019199, -911.931580], [266, -36, 299]]
DATA[6010, 0, [0,0,0], [-0.006421, 0.021316, 0.054526], 11, [-0.164621, -0.284466, 10.280270], [-0.035892, -0.136391, 9.805787], [207.569199, 31.018600, -909.889221], [268, -41, 294]]
DATA[6080, 0, [0,0,0], [-0.007185, 0.027425, 0.053610], 11, [-0.066187, -0.187890, -0.210588], [-0.016750, -0.107677, 9.810573], [209.527405, 32.019199, -912.952820], [265, -37, 294]]
DATA[6130, 0, [0,0,0], [-0.039561, 0.023607, 0.052999], 11, [-0.164621, -0.284466, 10.280270], [-0.038285, -0.074178, 9.810573], [209.527405, 35.021000, -911.931580], [261, -32, 306]]
DATA[6190, 0, [0,0,0], [-0.003367, 0.027883, 0.060329], 11, [-0.125247, -0.284466, -0.191052], [-0.026321, -0.117248, 9.829716], [210.506500, 35.021000, -910.910400], [267, -31, 297]]
DATA[6250, 0, [0,0,0], [-0.004741, 0.023302, 0.052999], 11, [-0.184308, -0.168575, -0.093372], [-0.021535, -0.093320, 9.839287], [208.548294, 36.021599, -909.889221], [264, -34, 298]]
DATA[6310, 0, [0,0,0], [-0.004130, 0.022385, 0.058038], 11, [-0.144934, -0.207206, 10.280270], [-0.004786, -0.131605, 9.844072], [209.527405, 38.022800, -907.846802], [265, -37, 295]]
DATA[6380, 0, [0,0,0], [-0.005047, 0.025745, 0.056511], 11, [-0.184308, -0.265151, -0.171516], [-0.016750, -0.117248, 9.805787], [208.548294, 32.019199, -909.889221], [267, -38, 295]]
DATA[6430, 0, [0,0,0], [-0.009934, -0.009685, 0.254126], 11, [0.386610, 0.275671, 10.905423], [2.069792, 0.385244, 9.863214], [209.527405, 37.022202, -909.889221], [270, -34, 295]]
DATA[6490, 0, [0,0,0], [-0.017722, -0.004645, 0.052541], 11, [-0.046500, 0.352932, 10.338878], [0.203390, 0.143569, 9.865608], [213.443802, 29.017401, -907.846802], [263, -43, 297]]
DATA[6550, 0, [0,0,0], [0.080474, -0.002965, 0.755494], 12, [-0.066187, -0.129945, -0.112908], [-0.832702, -0.815953, 10.341780], [224.213898, 20.011999, -904.783203], [271, -51, 311]]
DATA[6610, 0, [0,0,0], [0.212574, 0.007725, -0.184170], 12, [-0.105560, 0.642658, 10.924959], [-0.287139, 0.385244, 11.724831], [230.088501, 18.010799, -900.698425], [272, -50, 312]]
DATA[6670, 0, [0,0,0], [-0.019249, 0.213586, -0.000299], 12, [-0.066187, -0.187890, 10.065373], [-1.057628, 0.133998, 10.466207], [230.088501, 40.023998, -903.762024], [274, -45, 300]]
DATA[6730, 0, [0,0,0], [-0.009781, -0.004798, -0.444093], 12, [-1.542699, -0.593507, -0.210588], [-1.272982, -0.263211, 10.554741], [238.900406, 80.047997, -900.698425], [283, -17, 297]]
DATA[6800, 0, [0,0,0], [-0.466250, 0.005129, -0.006866], 12, [-0.361489, -0.554877, 9.381611], [0.136391, 0.217747, 8.461020], [243.795898, -128.076797, -899.677185], [293, 16, 296]]
DATA[6850, 0, [0,0,0], [0.005796, 0.004518, -0.000299], 12, [-0.144934, -0.670767, 9.147179], [0.066999, -0.471386, 8.209774], [237.921295, -107.064201, -901.719604], [284, 47, 300]]
DATA[6920, 0, [0,0,0], [-0.007948, -0.019917, -0.212422], 12, [-0.203995, -0.960493, -0.093372], [-0.193819, -1.088734, 9.667004], [237.921295, -102.061203, -901.719604], [280, 58, 303]]
DATA[6970, 0, [0,0,0], [0.121708, 0.007419, -0.399958], 12, [-0.893033, -1.211589, -0.093372], [-0.827917, -1.143769, 10.174282], [210.506500, -97.058197, -913.973999], [268, 62, 295]]
DATA[7030, 0, [0,0,0], [-0.019555, 0.009557, -0.006103], 12, [-0.302429, -1.211589, 10.631919], [-0.294317, -0.775275, 9.760324], [213.443802, -90.054001, -913.973999], [263, 67, 300]]
DATA[7090, 0, [0,0,0], [-0.013904, -0.185156, 0.000006], 12, [-0.243368, -0.187890, -0.132444], [0.253639, -0.466600, 9.700503], [-52.871399, -83.049797, -917.037598], [263, 77, 284]]
DATA[7150, 0, [0,0,0], [-0.006116, -0.002507, 0.005046], 12, [-0.184308, -0.168575, -0.191052], [0.409173, -0.820738, 9.477970], [-56.787800, -74.044403, -922.143616], [251, 94, 290]]
DATA[7220, 0, [0,0,0], [-0.014362, -0.005256, -0.001979], 12, [0.071621, -1.211589, -0.093372], [0.260818, -1.153340, 10.293923], [-69.516098, -70.042000, -927.249573], [243, 98, 285]]
DATA[7270, 0, [0,0,0], [0.015723, 0.002074, -0.008546], 12, [-0.066187, -0.574192, -0.151980], [0.270389, -0.512064, 9.556933], [-76.369797, -61.036598, -928.270813], [236, 102, 287]]
DATA[7330, 0, [0,0,0], [-0.001534, -0.088181, 0.009016], 12, [-0.046500, -0.091315, -0.073836], [0.368495, -0.861416, 9.980463], [-88.119003, -46.027599, -924.185974], [225, 115, 281]]
DATA[7390, 0, [0,0,0], [-0.014668, 0.001463, 0.007642], 12, [0.583478, -0.129945, -0.171516], [0.679562, -0.945165, 9.592826], [-93.014503, -41.024601, -924.185974], [227, 122, 288]]
DATA[7450, 0, [0,0,0], [-0.003825, 0.484200, -0.004270], 12, [-0.164621, -0.651452, 9.733260], [-0.157926, -0.291924, 9.109476], [-96.930901, -32.019199, -921.122375], [217, 128, 282]]
DATA[7510, 0, [0,0,0], [-0.037117, 0.004976, -0.005339], 12, [-0.085874, -0.168575, 10.612383], [0.619741, -0.830309, 10.499705], [-91.056297, -30.018000, -921.122375], [232, 132, 284]]
DATA[7570, 0, [0,0,0], [-0.007490, -0.004798, -0.004423], 12, [-0.105560, -0.149260, -0.151980], [0.177069, -0.299103, 9.403793], [-94.972702, 240.143997, -917.037598], [213, 146, 295]]
DATA[7640, 0, [0,0,0], [-0.027191, 0.176476, -0.298860], 12, [-0.302429, -0.091315, -0.132444], [-0.502493, -0.433101, 9.801002], [-109.659203, 243.145798, -920.101196], [206, 150, 296]]
