
Thu Jan  1 00:07:11 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2900, 0, [0,0,0], [-0.887587, 0.010537, -0.881784], 16, [-0.117680, -0.078453, -0.117680], [-0.026321, -0.093320, 9.824930], [257.000000, 19.000000, -87.000000], [276, -50, 314]]
DATA[2960, 0, [0,0,0], [-0.887740, 0.008705, -0.884838], 16, [-0.156906, -0.078453, -0.098067], [-0.040678, -0.083749, 9.858429], [256.000000, 15.000000, -86.000000], [281, -47, 322]]
DATA[3010, 0, [0,0,0], [-0.894001, 0.010385, -0.880868], 16, [-0.176520, -0.117680, -0.098067], [-0.026321, -0.093320, 9.815358], [-1.000000, 14.000000, -86.000000], [280, -57, 314]]
DATA[3070, 0, [0,0,0], [-0.881784, 0.008858, -0.879188], 16, [-0.156906, -0.117680, -0.117680], [-0.011964, -0.069392, 9.834501], [-1.000000, 16.000000, -90.000000], [280, -54, 307]]
DATA[3130, 0, [0,0,0], [-0.888962, 0.010385, -0.876134], 16, [-0.176520, -0.156906, -0.039227], [-0.026321, -0.122034, 9.815358], [256.000000, 17.000000, -87.000000], [286, -48, 314]]
DATA[3180, 0, [0,0,0], [-0.888962, 0.009774, -0.880868], 16, [-0.039227, -0.176520, 10.159690], [-0.021535, -0.112463, 9.820144], [259.000000, 19.000000, -89.000000], [280, -49, 312]]
DATA[3230, 0, [0,0,0], [-0.885449, 0.009468, -0.877966], 16, [-0.117680, -0.117680, 10.414662], [-0.016750, -0.078963, 9.815358], [258.000000, 17.000000, -89.000000], [284, -48, 311]]
DATA[3300, 0, [0,0,0], [-0.887893, 0.008247, -0.881173], 16, [-0.137293, -0.098067, -0.117680], [-0.009571, -0.093320, 9.786645], [-1.000000, 15.000000, -86.000000], [285, -51, 301]]
DATA[3350, 0, [0,0,0], [-0.889878, 0.010079, -0.880257], 16, [-0.137293, -0.117680, -0.019613], [-0.004786, -0.088534, 9.815358], [256.000000, 20.000000, -87.000000], [281, -52, 305]]
DATA[3400, 0, [0,0,0], [-0.889573, 0.012523, -0.881173], 16, [-0.117680, -0.137293, -0.019613], [-0.014357, -0.083749, 9.824930], [257.000000, 18.000000, -88.000000], [281, -50, 312]]
DATA[3460, 0, [0,0,0], [-0.886213, 0.009621, -0.879341], 16, [-0.254973, -0.215746, -0.039227], [-0.004786, -0.083749, 9.829716], [257.000000, 16.000000, -86.000000], [286, -57, 306]]
DATA[3520, 0, [0,0,0], [-0.883464, 0.008247, -0.879493], 16, [-0.058840, -0.137293, -0.098067], [-0.040678, -0.107677, 9.820144], [-2.000000, 18.000000, -91.000000], [285, -46, 318]]
DATA[3590, 0, [0,0,0], [-0.884075, 0.011148, -0.879951], 16, [-0.137293, -0.156906, -0.117680], [-0.026321, -0.112463, 9.834501], [256.000000, 19.000000, -88.000000], [288, -43, 309]]
DATA[3640, 0, [0,0,0], [-0.888198, 0.011301, -0.884075], 16, [-0.137293, -0.196133, -0.078453], [-0.028714, -0.074178, 9.858429], [257.000000, 18.000000, -86.000000], [283, -47, 309]]
DATA[3690, 0, [0,0,0], [-0.886976, 0.007941, -0.882242], 16, [-0.098067, -0.078453, -0.098067], [-0.035892, -0.088534, 9.796216], [-1.000000, 16.000000, -90.000000], [287, -47, 298]]
DATA[3750, 0, [0,0,0], [-0.888962, 0.011912, -0.881479], 16, [-0.098067, -0.098067, 10.355823], [-0.038285, -0.098106, 9.829716], [259.000000, 16.000000, -88.000000], [282, -54, 302]]
DATA[3810, 0, [0,0,0], [-0.890031, 0.009163, -0.881173], 16, [-0.176520, -0.137293, -0.137293], [-0.004786, -0.069392, 9.829716], [260.000000, 18.000000, -86.000000], [285, -60, 314]]
DATA[3860, 0, [0,0,0], [-0.884075, 0.012065, -0.878272], 16, [-0.098067, -0.117680, -0.058840], [-0.028714, -0.112463, 9.815358], [257.000000, 16.000000, -89.000000], [277, -50, 306]]
DATA[3920, 0, [0,0,0], [-0.885907, 0.007025, -0.880562], 16, [-0.156906, -0.137293, -0.117680], [-0.031107, -0.078963, 9.801002], [-4.000000, 16.000000, -89.000000], [284, -42, 302]]
DATA[3980, 0, [0,0,0], [-0.885755, 0.009774, -0.878730], 16, [-0.058840, -0.117680, -0.039227], [-0.026321, -0.126820, 9.824930], [-3.000000, 18.000000, -90.000000], [285, -55, 307]]
DATA[4030, 0, [0,0,0], [-0.888503, 0.012217, -0.881631], 16, [-0.117680, -0.058840, -0.019613], [-0.019143, -0.098106, 9.805787], [257.000000, 19.000000, -85.000000], [291, -52, 316]]
DATA[4090, 0, [0,0,0], [-0.889420, 0.009927, -0.878577], 16, [-0.137293, -0.117680, -0.078453], [-0.035892, -0.112463, 9.820144], [259.000000, 19.000000, -87.000000], [279, -44, 305]]
DATA[4150, 0, [0,0,0], [-0.889725, 0.009163, -0.881173], 16, [-0.117680, -0.098067, -0.156906], [-0.011964, -0.088534, 9.824930], [-1.000000, 13.000000, -88.000000], [288, -53, 300]]
DATA[4210, 0, [0,0,0], [-0.888045, 0.013439, -0.880715], 16, [-0.196133, -0.137293, 10.159690], [-0.031107, -0.098106, 9.801002], [-2.000000, 19.000000, -87.000000], [287, -57, 318]]
DATA[4260, 0, [0,0,0], [-0.888351, 0.008094, -0.879493], 16, [-0.156906, -0.137293, -0.078453], [-0.021535, -0.088534, 9.824930], [-2.000000, 22.000000, -87.000000], [280, -54, 309]]
DATA[4320, 0, [0,0,0], [-0.885755, 0.010385, -0.881020], 16, [-0.215746, -0.137293, -0.058840], [-0.043071, -0.083749, 9.824930], [256.000000, 16.000000, -89.000000], [281, -53, 308]]
DATA[4380, 0, [0,0,0], [-0.889267, 0.009163, -0.878272], 16, [-0.117680, -0.156906, -0.058840], [-0.045464, -0.131605, 9.834501], [257.000000, 16.000000, -91.000000], [283, -58, 300]]
DATA[4430, 0, [0,0,0], [-0.886671, 0.009927, -0.882395], 16, [-0.098067, -0.156906, -0.137293], [-0.050249, -0.078963, 9.839287], [-1.000000, 18.000000, -94.000000], [287, -45, 307]]
DATA[4480, 0, [0,0,0], [-0.885907, 0.007483, -0.879341], 16, [-0.098067, -0.137293, -0.058840], [-0.035892, -0.102891, 9.848858], [257.000000, 23.000000, -89.000000], [285, -46, 312]]
DATA[4550, 0, [0,0,0], [-0.889420, 0.011301, -0.880257], 16, [-0.156906, -0.156906, -0.078453], [-0.031107, -0.064606, 9.834501], [257.000000, 19.000000, -87.000000], [276, -49, 305]]
DATA[4600, 0, [0,0,0], [-0.886365, 0.011301, -0.880562], 16, [-0.156906, -0.156906, -0.078453], [-0.011964, -0.098106, 9.786645], [-2.000000, 16.000000, -89.000000], [282, -46, 313]]
DATA[4650, 0, [0,0,0], [-0.887740, 0.009010, -0.881479], 16, [-0.137293, -0.196133, -0.137293], [-0.026321, -0.059821, 9.844072], [259.000000, 18.000000, -89.000000], [281, -52, 307]]
DATA[4710, 0, [0,0,0], [-0.889114, 0.008858, -0.885296], 16, [-0.156906, -0.156906, -0.117680], [-0.033500, -0.117248, 9.829716], [-1.000000, 24.000000, -89.000000], [285, -52, 313]]
DATA[4770, 0, [0,0,0], [-0.888351, 0.012828, -0.880104], 16, [-0.058840, -0.196133, 10.355823], [-0.026321, -0.098106, 9.796216], [256.000000, 21.000000, -90.000000], [289, -53, 305]]
DATA[4820, 0, [0,0,0], [-0.886671, 0.006872, -0.880715], 16, [-0.058840, -0.098067, -0.098067], [-0.011964, -0.088534, 9.858429], [256.000000, 15.000000, -88.000000], [290, -51, 312]]
DATA[4880, 0, [0,0,0], [-0.886060, 0.007941, -0.881631], 16, [-0.117680, -0.137293, -0.117680], [-0.047856, -0.083749, 9.834501], [-1.000000, 20.000000, -90.000000], [292, -52, 310]]
DATA[4940, 0, [0,0,0], [-0.887740, 0.007789, -0.879951], 16, [-0.176520, -0.137293, -0.098067], [-0.026321, -0.098106, 9.853643], [-3.000000, 21.000000, -87.000000], [285, -55, 304]]
DATA[5000, 0, [0,0,0], [-0.888351, 0.009927, -0.881326], 16, [-0.176520, -0.058840, -0.039227], [-0.047856, -0.078963, 9.829716], [-1.000000, 21.000000, -90.000000], [288, -47, 306]]
DATA[5060, 0, [0,0,0], [-0.893543, 0.009927, -0.881937], 16, [-0.176520, -0.196133, -0.078453], [-0.016750, -0.088534, 9.801002], [-1.000000, 19.000000, -89.000000], [289, -53, 319]]
DATA[5120, 0, [0,0,0], [-0.886518, 0.008705, -0.883311], 16, [-0.156906, -0.078453, -0.078453], [-0.028714, -0.093320, 9.820144], [-2.000000, 19.000000, -91.000000], [286, -50, 303]]
DATA[5180, 0, [0,0,0], [-0.888198, 0.009010, -0.880410], 16, [-0.117680, -0.137293, -0.078453], [-0.031107, -0.074178, 9.786645], [-1.000000, 22.000000, -88.000000], [294, -40, 307]]
DATA[5240, 0, [0,0,0], [-0.886060, 0.010690, -0.882089], 16, [-0.137293, -0.117680, -0.039227], [-0.038285, -0.083749, 9.820144], [-1.000000, 21.000000, -87.000000], [282, -46, 305]]
DATA[5300, 0, [0,0,0], [-0.885144, 0.008858, -0.881479], 16, [-0.058840, -0.137293, -0.058840], [-0.035892, -0.122034, 9.824930], [257.000000, 21.000000, -90.000000], [293, -48, 302]]
DATA[5360, 0, [0,0,0], [-0.891252, 0.009010, -0.877355], 16, [-0.176520, -0.294199, -0.137293], [-0.028714, -0.102891, 9.815358], [-3.000000, 22.000000, -87.000000], [286, -51, 314]]
DATA[5420, 0, [0,0,0], [-0.885144, 0.008705, -0.880562], 15, [-0.137293, -0.117680, -0.098067], [-0.043071, -0.098106, 9.844072], [-2.000000, 19.000000, -90.000000], [285, -42, 309]]
DATA[5490, 0, [0,0,0], [-0.890031, 0.010232, -0.881784], 15, [-0.117680, -0.215746, -0.058840], [-0.040678, -0.093320, 9.805787], [-1.000000, 18.000000, -90.000000], [278, -50, 302]]
DATA[5540, 0, [0,0,0], [-0.888198, 0.009468, -0.881479], 15, [-0.156906, -0.156906, -0.039227], [-0.052642, -0.083749, 9.829716], [260.000000, 19.000000, -89.000000], [293, -52, 304]]
DATA[5600, 0, [0,0,0], [-0.886060, 0.009010, -0.880562], 15, [-0.156906, -0.078453, 10.375436], [-0.026321, -0.102891, 9.815358], [256.000000, 18.000000, -88.000000], [291, -51, 308]]
DATA[5650, 0, [0,0,0], [-0.888045, 0.008399, -0.880410], 15, [-0.117680, -0.137293, -0.098067], [-0.031107, -0.069392, 9.824930], [256.000000, 18.000000, -88.000000], [285, -49, 301]]
DATA[5710, 0, [0,0,0], [-0.889420, 0.007330, -0.877966], 15, [-0.156906, -0.156906, -0.098067], [-0.021535, -0.098106, 9.820144], [-1.000000, 20.000000, -90.000000], [285, -55, 298]]
DATA[5780, 0, [0,0,0], [-0.890794, 0.006872, -0.878730], 15, [-0.156906, -0.098067, -0.098067], [-0.016750, -0.078963, 9.834501], [-1.000000, 17.000000, -89.000000], [283, -49, 309]]
DATA[5830, 0, [0,0,0], [-0.887282, 0.009468, -0.879188], 15, [-0.137293, -0.176520, -0.117680], [-0.028714, -0.098106, 9.824930], [256.000000, 19.000000, -92.000000], [281, -49, 309]]
DATA[5890, 0, [0,0,0], [-0.889878, 0.009468, -0.884075], 15, [-0.137293, -0.196133, -0.098067], [-0.038285, -0.102891, 9.791430], [256.000000, 23.000000, -85.000000], [283, -46, 310]]
DATA[5950, 0, [0,0,0], [-0.889420, 0.008247, -0.880410], 15, [-0.156906, -0.117680, -0.098067], [-0.040678, -0.098106, 9.853643], [-2.000000, 21.000000, -90.000000], [281, -46, 299]]
DATA[6010, 0, [0,0,0], [-0.888198, 0.008705, -0.879188], 15, [-0.098067, -0.156906, 10.179303], [-0.023928, -0.102891, 9.839287], [-3.000000, 20.000000, -88.000000], [283, -44, 309]]
DATA[6080, 0, [0,0,0], [-0.887129, 0.006109, -0.878119], 15, [-0.117680, -0.156906, -0.019613], [-0.016750, -0.078963, 9.796216], [256.000000, 19.000000, -84.000000], [284, -46, 308]]
DATA[6130, 0, [0,0,0], [-0.891558, 0.006567, -0.878882], 15, [-0.117680, -0.117680, 10.179303], [-0.031107, -0.093320, 9.796216], [256.000000, 19.000000, -87.000000], [284, -50, 305]]
DATA[6190, 0, [0,0,0], [-0.886976, 0.012065, -0.879799], 15, [-0.098067, -0.156906, 10.159690], [-0.043071, -0.078963, 9.815358], [257.000000, 19.000000, -87.000000], [282, -48, 304]]
DATA[6260, 0, [0,0,0], [-0.890183, 0.009621, -0.880104], 15, [-0.176520, -0.176520, -0.117680], [-0.014357, -0.098106, 9.815358], [256.000000, 14.000000, -90.000000], [282, -46, 305]]
DATA[6310, 0, [0,0,0], [-0.889267, 0.005651, -0.880715], 16, [-0.078453, -0.117680, -0.098067], [-0.031107, -0.102891, 9.865608], [-2.000000, 18.000000, -87.000000], [273, -45, 305]]
DATA[6370, 0, [0,0,0], [-0.888045, 0.008858, -0.879799], 16, [-0.196133, -0.098067, -0.078453], [-0.045464, -0.112463, 9.820144], [-1.000000, 19.000000, -86.000000], [286, -41, 299]]
DATA[6430, 0, [0,0,0], [-0.889267, 0.009774, -0.880868], 16, [-0.176520, -0.215746, -0.156906], [-0.026321, -0.074178, 9.815358], [-3.000000, 15.000000, -92.000000], [277, -49, 301]]
DATA[6490, 0, [0,0,0], [-0.884991, 0.007178, -0.881326], 16, [-0.196133, -0.098067, -0.098067], [-0.019143, -0.074178, 9.829716], [-2.000000, 18.000000, -89.000000], [286, -44, 302]]
DATA[6560, 0, [0,0,0], [-0.893085, 0.008399, -0.880868], 16, [-0.078453, -0.137293, 10.179303], [-0.026321, -0.078963, 9.834501], [-1.000000, 17.000000, -90.000000], [282, -47, 301]]
DATA[6610, 0, [0,0,0], [-0.894612, 0.006567, -0.881173], 16, [-0.235360, -0.176520, -0.117680], [-0.064606, -0.122034, 9.839287], [-1.000000, 17.000000, -91.000000], [282, -53, 313]]
DATA[6670, 0, [0,0,0], [-0.890336, 0.008399, -0.883311], 16, [-0.098067, -0.156906, -0.137293], [-0.038285, -0.083749, 9.820144], [257.000000, 18.000000, -89.000000], [285, -52, 307]]
DATA[6740, 0, [0,0,0], [-0.891558, 0.007941, -0.879799], 16, [-0.117680, -0.098067, -0.117680], [-0.028714, -0.093320, 9.829716], [256.000000, 17.000000, -89.000000], [285, -52, 310]]
DATA[6790, 0, [0,0,0], [-0.890642, 0.009621, -0.881631], 16, [-0.156906, -0.098067, -0.078453], [-0.033500, -0.117248, 9.834501], [-1.000000, 18.000000, -87.000000], [287, -51, 299]]
DATA[6850, 0, [0,0,0], [-0.882548, 0.011606, -0.877813], 16, [-0.039227, -0.176520, -0.078453], [-0.011964, -0.083749, 9.860822], [-3.000000, 19.000000, -90.000000], [283, -49, 302]]
DATA[6910, 0, [0,0,0], [-0.890336, 0.011301, -0.880257], 16, [-0.156906, -0.156906, 10.375436], [-0.035892, -0.078963, 9.796216], [-3.000000, 21.000000, -89.000000], [281, -52, 300]]
DATA[6970, 0, [0,0,0], [-0.887129, 0.009316, -0.879188], 16, [-0.117680, -0.058840, 10.355823], [-0.009571, -0.098106, 9.820144], [-3.000000, 21.000000, -88.000000], [276, -52, 310]]
DATA[7040, 0, [0,0,0], [-0.884686, 0.012370, -0.882395], 16, [-0.098067, -0.156906, -0.019613], [-0.016750, -0.093320, 9.791430], [256.000000, 20.000000, -88.000000], [278, -46, 313]]
DATA[7090, 0, [0,0,0], [-0.887282, 0.008094, -0.879951], 16, [-0.117680, -0.058840, -0.078453], [-0.019143, -0.107677, 9.805787], [256.000000, 23.000000, -88.000000], [284, -51, 305]]
DATA[7150, 0, [0,0,0], [-0.890947, 0.007636, -0.880410], 16, [-0.117680, -0.117680, -0.058840], [-0.045464, -0.083749, 9.853643], [258.000000, 17.000000, -87.000000], [284, -48, 303]]
DATA[7220, 0, [0,0,0], [-0.888198, 0.008094, -0.877355], 16, [-0.176520, -0.098067, -0.058840], [-0.016750, -0.093320, 9.815358], [257.000000, 19.000000, -87.000000], [283, -51, 305]]
DATA[7270, 0, [0,0,0], [-0.890642, 0.007789, -0.879799], 16, [-0.117680, -0.137293, -0.098067], [-0.011964, -0.112463, 9.815358], [-2.000000, 16.000000, -90.000000], [287, -46, 312]]
