
Thu Jan  1 00:00:30 1970

Flight Log #9
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2670, 0, [0,0,0], [-0.019097, -0.004187, -0.006408], 14, [-0.823759, -0.117680, -0.019613], [0.083197, 0.467625, 10.120426], [-46.000000, -46.000000, -102.000000], [168.405197, 101.060600, -522.854370]]
DATA[2730, 0, [0,0,0], [-0.006421, 0.022538, -0.004728], 14, [-0.156906, -0.156906, -0.039227], [-1.098485, 0.017545, 8.711837], [-62.000000, -28.000000, -103.000000], [147.844101, 111.066597, -530.002808]]
DATA[2790, 0, [0,0,0], [-0.763283, -0.008311, -0.948668], 14, [-0.882599, -0.058840, 8.257199], [-0.827082, 0.170713, 7.384285], [-73.000000, -4.000000, -97.000000], [137.074005, 131.078598, -540.214783]]
DATA[2850, 0, [0,0,0], [-0.011308, 0.218015, 0.008253], 14, [-0.254973, -0.313813, -0.058840], [0.491501, -0.034297, 10.401667], [-80.000000, 266.000000, -95.000000], [136.094894, 145.087006, -527.960388]]
DATA[2920, 0, [0,0,0], [0.355364, -0.000064, -0.003659], 14, [0.098067, -0.117680, 10.355823], [-0.920752, 0.036396, 9.419706], [-99.000000, 265.000000, -101.000000], [115.533798, 141.084595, -525.918030]]
DATA[2980, 0, [0,0,0], [-0.098967, -0.297861, -1.230124], 14, [-1.117958, -0.490333, 9.787037], [-0.709395, 0.022258, 9.302920], [-120.000000, 269.000000, -102.000000], [95.951797, 139.083405, -530.002808]]
DATA[3040, 0, [0,0,0], [-0.099273, 0.102714, 0.009169], 14, [-0.294199, 0.372653, -0.058840], [-0.315501, 0.267327, 9.882086], [106.000000, 280.000000, -106.000000], [83.223503, 147.088196, -541.236023]]
DATA[3100, 0, [0,0,0], [-0.010239, 0.059954, -0.006866], 14, [-0.608012, 0.353039, 9.728197], [-0.954377, 0.135367, 10.451718], [87.000000, 295.000000, -104.000000], [62.662399, 147.088196, -534.087585]]
DATA[3160, 0, [0,0,0], [0.011599, 0.132341, -1.043199], 14, [-0.098067, 0.137293, 10.120462], [0.275340, 0.422852, 8.544999], [77.000000, 314.000000, -97.000000], [54.829601, 170.102005, -534.087585]]
DATA[3220, 0, [0,0,0], [-0.014057, 0.003143, -0.958441], 14, [-0.804145, -0.137293, 9.787037], [-0.824681, 0.069386, 9.867785], [58.000000, 322.000000, -99.000000], [39.164001, 168.100800, -534.087585]]
