
Thu Jan  1 00:00:01 1970

Flight Log #11
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1890, 0, [-0.028205,-0.009829,-2.198359], [0.012045, 0.019175, -0.017348], 14, [-0.058840, -0.254973, -9.963556], [-0.101147, -0.290444, 9.722802], [27.000000, 4.000000, 590.000000], [-72.453400, -109.065399, -653.567993]]
DATA[1940, 0, [-0.028235,-0.009635,-2.240523], [0.012939, 0.019462, -0.017882], 14, [-0.039227, -0.313813, -10.002783], [-0.096849, -0.293727, 9.727449], [24.000000, -1.000000, 580.000000], [-71.474297, -99.059402, -653.567993]]
DATA[1970, 0, [-0.028333,-0.009509,-2.257905], [0.012534, 0.020417, -0.018222], 14, [-0.039227, -0.254973, -0.019613], [-0.104039, -0.297774, 9.726192], [27.000000, 4.000000, 588.000000], [-77.348900, -103.061798, -649.483215]]
DATA[2010, 0, [-0.028524,-0.009516,-2.230695], [0.011963, 0.020371, -0.018320], 14, [-0.039227, -0.274586, -0.039227], [-0.103310, -0.301649, 9.729524], [28.000000, -2.000000, 589.000000], [-75.390701, -106.063599, -650.504395]]
DATA[2050, 0, [-0.028653,-0.009578,-2.193075], [0.012089, 0.019866, -0.018059], 14, [0.000000, -0.294199, -0.058840], [-0.106620, -0.298321, 9.718200], [31.000000, 2.000000, 590.000000], [-72.453400, -110.066002, -650.504395]]
DATA[2090, 0, [-0.028740,-0.009652,-2.267021], [0.012471, 0.018979, -0.019174], 14, [-0.058840, -0.254973, -10.042009], [-0.106596, -0.299035, 9.722553], [30.000000, 5.000000, 590.000000], [-75.390701, -99.059402, -655.610413]]
DATA[2140, 0, [-0.028731,-0.009845,-2.266492], [0.011083, 0.018610, -0.017794], 14, [-0.019613, -0.254973, -10.002783], [-0.114771, -0.292473, 9.715267], [27.000000, 0.000000, 592.000000], [-74.411598, -98.058800, -653.567993]]
DATA[2170, 0, [-0.028580,-0.010079,-2.257439], [0.011009, 0.019468, -0.017239], 14, [-0.019613, -0.019613, -9.983170], [-0.112725, -0.288627, 9.715854], [29.000000, 0.000000, 590.000000], [-79.307098, -106.063599, -655.610413]]
DATA[2220, 0, [-0.028387,-0.010174,-2.230499], [0.010112, 0.019602, -0.016064], 14, [0.019613, -0.215746, -0.058840], [-0.108561, -0.287797, 9.723759], [28.000000, 10.000000, 590.000000], [-80.286201, -113.067802, -656.631592]]
DATA[2250, 0, [-0.028191,-0.010129,-2.260677], [0.010336, 0.020169, -0.015926], 14, [0.019613, -0.313813, -9.983170], [-0.103879, -0.285114, 9.722235], [27.000000, 7.000000, 592.000000], [-73.432503, -98.058800, -652.546814]]
DATA[2290, 0, [-0.027913,-0.010213,-2.264178], [0.011292, 0.019539, -0.016578], 14, [-0.019613, -0.215746, -9.983170], [-0.113860, -0.282545, 9.719265], [29.000000, 6.000000, 593.000000], [-76.369797, -101.060600, -651.525574]]
DATA[2330, 0, [-0.027886,-0.010191,-2.278916], [0.011808, 0.019637, -0.016296], 14, [-0.019613, -0.294199, -0.058840], [-0.105887, -0.289534, 9.717681], [27.000000, 5.000000, 589.000000], [-81.265297, -104.062401, -644.377197]]
DATA[2370, 0, [-0.027858,-0.009840,-2.218914], [0.012666, 0.019201, -0.016167], 14, [-0.039227, -0.294199, -10.002783], [-0.092392, -0.285564, 9.717664], [29.000000, 8.000000, 593.000000], [-76.369797, -110.066002, -656.631592]]
DATA[2420, 0, [-0.027753,-0.009504,-2.317000], [0.012962, 0.020743, -0.016660], 14, [0.000000, -0.294199, -10.042009], [-0.098325, -0.285838, 9.716017], [27.000000, 6.000000, 591.000000], [-89.098099, -105.063004, -639.271179]]
DATA[2450, 0, [-0.027798,-0.009329,-2.174148], [0.013212, 0.018456, -0.015253], 14, [0.000000, -0.019613, -0.019613], [-0.096785, -0.290675, 9.714049], [28.000000, 3.000000, 593.000000], [-70.495201, -111.066597, -640.292419]]
DATA[2500, 0, [-0.027867,-0.009235,-2.268837], [0.013525, 0.018513, -0.016213], 14, [-0.019613, -0.294199, -0.019613], [-0.106684, -0.285552, 9.718457], [28.000000, 11.000000, 586.000000], [-79.307098, -103.061798, -644.377197]]
DATA[2530, 0, [-0.027742,-0.009380,-2.234903], [0.013123, 0.018905, -0.016215], 14, [0.000000, -0.019613, -10.042009], [-0.106649, -0.279912, 9.720623], [28.000000, -3.000000, 591.000000], [-72.453400, -101.060600, -637.228821]]
DATA[2570, 0, [-0.027778,-0.009443,-2.242635], [0.012554, 0.019817, -0.016257], 14, [-0.039227, -0.294199, -10.002783], [-0.103676, -0.292057, 9.721068], [25.000000, 2.000000, 594.000000], [-73.432503, -101.060600, -657.652771]]
