
Thu Jan  1 00:00:01 1970

Flight Log #12
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.2'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2450, 0, [-0.005360,-0.020845,-2.038383], [0.018828, 0.018820, -0.020804], 13, [0.078453, 0.078453, -10.002783], [-0.220211, -0.066528, 9.725362], [9.000000, -57.000000, 596.000000], [-70.495201, -154.092407, -657.652771]]
DATA[2490, 0, [-0.005255,-0.020810,-1.980561], [0.019881, 0.018880, -0.021840], 13, [0.117680, -0.019613, -9.983170], [-0.217679, -0.063780, 9.725933], [6.000000, -49.000000, 592.000000], [-64.620598, -163.097794, -649.483215]]
DATA[2530, 0, [-0.005139,-0.020828,-2.020794], [0.019956, 0.018569, -0.021201], 13, [0.058840, -0.019613, -10.042009], [-0.222848, -0.064042, 9.732017], [3.000000, -60.000000, 595.000000], [-69.516098, -158.094803, -644.377197]]
DATA[2570, 0, [-0.005040,-0.020954,-2.026985], [0.019387, 0.019776, -0.020675], 13, [0.117680, -0.078453, -9.983170], [-0.225571, -0.062830, 9.731990], [8.000000, -56.000000, 595.000000], [-73.432503, -164.098404, -652.546814]]
DATA[2610, 0, [-0.004903,-0.021034,-2.050681], [0.018327, 0.020410, -0.020763], 13, [0.098067, -0.058840, -0.019613], [-0.223073, -0.061944, 9.735318], [4.000000, -63.000000, 596.000000], [-76.369797, -161.096603, -647.440796]]
DATA[2650, 0, [-0.004727,-0.020974,-1.997555], [0.018232, 0.020261, -0.019944], 13, [0.117680, -0.078453, -0.019613], [-0.216264, -0.058200, 9.732723], [2.000000, -62.000000, 595.000000], [-67.557899, -163.097794, -657.652771]]
DATA[2690, 0, [-0.004585,-0.020875,-2.019079], [0.017384, 0.019973, -0.019594], 13, [0.078453, 0.019613, -9.983170], [-0.216506, -0.058840, 9.743806], [4.000000, -61.000000, 592.000000], [-74.411598, -169.101395, -653.567993]]
DATA[2730, 0, [-0.005187,-0.022394,-1.976046], [0.018167, 0.020349, -0.019785], 13, [0.000000, -0.078453, -9.924330], [-0.305747, -0.098119, 9.712089], [2.000000, -64.000000, 598.000000], [-65.599701, -168.100800, -641.313599]]
DATA[2770, 0, [-0.005518,-0.022909,-2.003445], [0.018745, 0.018679, -0.019627], 13, [-0.078453, 0.078453, -9.943943], [-0.223569, -0.068924, 9.788642], [6.000000, -61.000000, 591.000000], [-69.516098, -166.099594, -642.334778]]
DATA[2810, 0, [-0.005322,-0.021913,-1.983836], [0.017211, 0.018643, -0.020185], 13, [0.000000, -0.117680, -10.042009], [-0.190281, -0.059442, 9.667161], [6.000000, -59.000000, 593.000000], [-67.557899, -169.101395, -643.356018]]
DATA[2860, 0, [-0.004525,-0.020890,-2.008277], [0.018099, 0.019830, -0.020275], 13, [0.058840, -0.039227, -10.002783], [-0.193136, -0.023112, 9.760380], [4.000000, -65.000000, 588.000000], [-72.453400, -169.101395, -644.377197]]
DATA[2890, 0, [-0.003627,-0.020096,-2.000957], [0.018983, 0.020431, -0.020408], 13, [-0.117680, -0.019613, -9.983170], [-0.190118, -0.036442, 9.756861], [9.000000, -61.000000, 596.000000], [-69.516098, -165.098999, -647.440796]]
