
Thu Jan  1 00:00:01 1970

Flight Log #28
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.6'
LEGEND:[rover_t, rover_status, [rover_orient_est], [rover_orient_des],[rover_rates_des],[rover_accs_est], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag], [rover_thrusts_des]
DATA[3620, 0, [-0.016993,-0.031333,3.097089],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[1.061398,-0.468631,0.048916], [0.021291, 0.053785, -0.016157], 12, [-0.313813, -0.156906, -0.078453], [0.178857, -0.362095, 9.780756], [-94.000000, 47.000000, -64.000000], [-332.894012, 6.003600, -681.140381],[0.007895,0.003354,-0.007895,-0.003354]]
DATA[3690, 0, [-0.012627,-0.032935,3.114141],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0.268428,-0.435651,0.217702], [-0.005437, 0.017968, 0.013924], 12, [0.019613, -0.117680, -9.355544], [0.064587, -0.349486, 9.515619], [-104.000000, 56.000000, -60.000000], [-329.956696, 13.007800, -677.055603],[0.007588,0.004178,-0.007588,-0.004178]]
DATA[3760, 0, [-0.011433,-0.032459,3.123881],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.152077,-0.001378,0.167523], [0.029598, -0.028714, 0.019340], 12, [-0.196133, -0.215746, -0.078453], [0.043278, -0.319813, 9.473827], [-101.000000, 61.000000, -59.000000], [-336.810394, 16.009600, -681.140381],[0.007329,0.004356,-0.007329,-0.004356]]
DATA[3820, 0, [-0.011145,-0.027384,3.110505],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.012429,0.073102,-0.553698], [0.068386, -0.020354, -0.080294], 12, [-0.019613, -0.078453, -9.943943], [0.061607, -0.319416, 9.529267], [-97.000000, 52.000000, -61.000000], [-334.852203, 8.004800, -681.140381],[0.006378,0.003480,-0.006378,-0.003480]]
DATA[3890, 0, [-0.010513,-0.024908,3.067742],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0.076729,0.240550,-0.424889], [0.114428, -0.009539, -0.094979], 12, [-0.098067, -0.137293, -0.039227], [0.065898, -0.238341, 9.578516], [-101.000000, 28.000000, -62.000000], [-328.977600, -8.004800, -677.055603],[0.005850,0.003117,-0.005850,-0.003117]]
DATA[3950, 0, [-0.010698,-0.020041,3.049886],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.118374,-0.235830,0.441019], [0.028411, -0.029811, 0.000173], 12, [-0.215746, 0.000000, -0.137293], [0.063930, -0.158086, 9.620111], [-98.000000, 18.000000, -61.000000], [-327.998505, -17.010201, -690.331177],[0.004998,0.002217,-0.004998,-0.002217]]
DATA[4010, 0, [-0.011631,-0.017604,3.079734],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.088147,-0.197883,-0.588818], [0.026868, -0.032674, -0.127419], 12, [-0.313813, -0.156906, -0.117680], [0.081069, -0.160836, 9.705449], [-97.000000, 22.000000, -62.000000], [-330.935791, -15.009000, -679.098022],[0.004681,0.001657,-0.004681,-0.001657]]
DATA[4070, 0, [-0.009870,-0.015403,3.067003],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[0.589631,-0.178504,0.437696], [0.010937, 0.060773, -0.000682], 12, [-0.254973, -0.019613, -0.078453], [0.098180, -0.119357, 9.755162], [-105.000000, 18.000000, -59.000000], [-322.123901, -9.005400, -679.098022],[0.004056,0.001490,-0.004056,-0.001490]]
DATA[4130, 0, [-0.008718,-0.013372,3.069393],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.132809,0.030216,-0.501687], [0.029344, -0.009176, -0.139693], 12, [-0.078453, -0.058840, -10.042009], [0.059803, -0.124612, 9.773756], [-108.000000, 18.000000, -55.000000], [-313.312012, -14.008400, -679.098022],[0.003605,0.001326,-0.003605,-0.001326]]
DATA[4200, 0, [-0.008811,-0.011910,3.048671],[0.000000,0.000000,0.000000],[0.000000,0.000000,0.000000],[-0.277239,0.016805,0.222722], [0.029566, -0.037899, -0.123711], 12, [-0.156906, -0.019613, -9.963556], [0.019850, -0.137249, 9.780946], [-109.000000, 7.000000, -58.000000], [-327.998505, -23.013800, -681.140381],[0.003319,0.001034,-0.003319,-0.001034]]
