
Thu Jan  1 00:00:01 1970

Flight Log #45
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1950, 0, [-0.004414,-0.036150,2.979722],[0.000000,0.000000,0.000000], [0.031164, 0.020922, -0.001654], 10, [0.058840, -0.058840, -10.218530], [-0.074344, -0.372281, 9.728182], [-69.000000, 87.000000, -42.000000], [-219.318405, -11.006600, -700.543213],[-0.000721,-0.002395,0.000721,0.002395]]
DATA[2020, 0, [-0.005009,-0.036183,2.984617],[0.000000,0.000000,0.000000], [0.032147, 0.019704, 0.002141], 10, [-0.039227, -0.078453, -9.963556], [-0.081895, -0.368410, 9.741150], [-67.000000, 78.000000, -40.000000], [-225.192993, -11.006600, -696.458374],[-0.000819,-0.002395,0.000819,0.002395]]
DATA[2090, 0, [-0.005126,-0.036098,3.009992],[0.000000,0.000000,0.000000], [0.031833, 0.020045, -0.004616], 10, [0.078453, -0.039227, -0.039227], [-0.075631, -0.366908, 9.722394], [-69.000000, 86.000000, -41.000000], [-218.339294, -11.006600, -702.585571],[-0.000753,-0.002391,0.000753,0.002391]]
DATA[2150, 0, [-0.005317,-0.036235,2.968603],[0.000000,0.000000,0.000000], [0.025576, 0.021139, -0.007427], 10, [-0.058840, -0.058840, -10.002783], [-0.079108, -0.372502, 9.725617], [-66.000000, 85.000000, -41.000000], [-217.360199, -13.007800, -707.691589],[-0.000433,-0.002124,0.000433,0.002124]]
DATA[2220, 0, [-0.005456,-0.036442,2.990727],[0.000000,0.000000,0.000000], [0.026057, 0.020580, -0.006051], 10, [0.000000, -0.313813, -10.002783], [-0.084061, -0.373076, 9.721621], [-69.000000, 89.000000, -39.000000], [-225.192993, -9.005400, -708.712830],[-0.000480,-0.002126,0.000480,0.002126]]
DATA[2280, 0, [-0.005836,-0.036464,2.999933],[0.000000,0.000000,0.000000], [0.024644, 0.021078, -0.001591], 10, [-0.078453, -0.098067, -10.002783], [-0.082568, -0.372223, 9.732004], [-68.000000, 89.000000, -43.000000], [-218.339294, -6.003600, -705.649170],[-0.000389,-0.002075,0.000389,0.002075]]
DATA[2350, 0, [-0.005788,-0.036415,2.999262],[0.000000,0.000000,0.000000], [0.025317, 0.021749, 0.001472], 10, [0.078453, -0.274586, -0.078453], [-0.079411, -0.371732, 9.725926], [-67.000000, 81.000000, -39.000000], [-218.339294, -6.003600, -710.755188],[-0.000517,-0.002222,0.000517,0.002222]]
DATA[2420, 0, [-0.005674,-0.036298,2.995500],[0.000000,0.000000,0.000000], [0.024441, 0.023268, 0.004408], 10, [-0.019613, -0.098067, -10.002783], [-0.076334, -0.371166, 9.722040], [-69.000000, 90.000000, -42.000000], [-216.381104, -7.004200, -700.543213],[-0.000291,-0.002153,0.000291,0.002153]]
DATA[2490, 0, [-0.005291,-0.036475,2.963861],[0.000000,0.000000,0.000000], [0.030422, 0.022081, 0.001277], 10, [-0.019613, -0.019613, -0.019613], [-0.071327, -0.375201, 9.721783], [-68.000000, 84.000000, -40.000000], [-223.234802, -15.009000, -706.670410],[-0.000638,-0.002404,0.000638,0.002404]]
DATA[2550, 0, [-0.005194,-0.036598,2.989271],[0.000000,0.000000,0.000000], [0.027307, 0.021919, 0.000433], 10, [0.058840, -0.019613, -10.042009], [-0.078400, -0.378192, 9.725312], [-71.000000, 86.000000, -43.000000], [-217.360199, -8.004800, -708.712830],[-0.000489,-0.002242,0.000489,0.002242]]
