
Thu Jan  1 00:00:01 1970

Flight Log #22
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2190, 0, [0.000791,-0.009478,-2.603303],[0.000000,0.000000,0.000000], [0.003698, 0.006447, -0.008673], 17, [-0.156906, 0.000000, -10.022396], [0.025696, -0.077816, 9.698348], [94.000000, 45.000000, 560.000000], [-128.262100, -76.045601, -603.529175],[0.000103,0.000087,-0.000103,-0.000087]]
DATA[2260, 0, [0.000482,-0.007431,-2.554224],[0.000000,0.000000,0.000000], [0.005191, 0.004649, -0.008496], 17, [-0.078453, 0.039227, -10.002783], [-0.022681, -0.047402, 9.706926], [93.000000, 39.000000, 562.000000], [-128.262100, -85.051003, -614.762390],[0.000079,0.000069,-0.000079,-0.000069]]
DATA[2340, 0, [0.000103,-0.007405,-2.581969],[0.000000,0.000000,0.000000], [0.003712, 0.010150, -0.011052], 17, [-0.176520, 0.000000, -10.002783], [0.007609, -0.091662, 9.713502], [93.000000, 38.000000, 558.000000], [-126.303902, -79.047401, -608.635193],[0.000073,0.000073,-0.000073,-0.000073]]
DATA[2420, 0, [-0.001950,-0.007281,-2.602535],[0.000000,0.000000,0.000000], [0.005002, 0.009638, -0.010424], 17, [-0.019613, 0.000000, -10.002783], [-0.062769, -0.065632, 9.712477], [92.000000, 46.000000, 560.000000], [-128.262100, -78.046799, -605.571594],[0.000053,0.000092,-0.000053,-0.000092]]
DATA[2490, 0, [-0.003251,-0.007253,-2.610534],[0.000000,0.000000,0.000000], [0.005466, 0.009794, -0.010164], 17, [-0.196133, 0.019613, -0.019613], [-0.031478, -0.086782, 9.701611], [92.000000, 40.000000, 559.000000], [-122.387497, -74.044403, -594.338379],[0.000040,0.000105,-0.000040,-0.000105]]
DATA[2570, 0, [-0.002697,-0.006598,-2.539008],[0.000000,0.000000,0.000000], [-0.000864, 0.012528, -0.008833], 17, [-0.294199, 0.117680, -9.924330], [-0.005449, -0.061598, 9.732285], [96.000000, 47.000000, 558.000000], [-122.387497, -86.051598, -605.571594],[0.000039,0.000093,-0.000039,-0.000093]]
DATA[2650, 0, [-0.001499,-0.006503,-2.571965],[0.000000,0.000000,0.000000], [0.002710, 0.013365, -0.006636], 17, [-0.078453, -0.137293, -0.019613], [-0.006589, -0.086098, 9.698487], [90.000000, 46.000000, 562.000000], [-123.366600, -80.047997, -615.783630],[0.000050,0.000080,-0.000050,-0.000080]]
DATA[2730, 0, [-0.001345,-0.006944,-2.629816],[0.000000,0.000000,0.000000], [0.003640, 0.014647, -0.009160], 17, [-0.156906, 0.019613, -9.983170], [-0.006464, -0.077603, 9.714400], [93.000000, 39.000000, 561.000000], [-129.241196, -79.047401, -597.401978],[0.000056,0.000083,-0.000056,-0.000083]]
DATA[2800, 0, [-0.003393,-0.008426,-2.556074],[0.000000,0.000000,0.000000], [0.000383, 0.016905, -0.007586], 17, [-0.098067, -0.215746, -9.904716], [-0.051160, -0.135030, 9.595493], [93.000000, 45.000000, 559.000000], [-126.303902, -86.051598, -596.380798],[0.000048,0.000111,-0.000048,-0.000111]]
DATA[2870, 0, [-0.004688,-0.008799,-2.559695],[0.000000,0.000000,0.000000], [0.003541, 0.014686, -0.005316], 17, [-0.058840, -0.156906, -0.098067], [-0.081811, -0.086601, 9.734829], [90.000000, 57.000000, 559.000000], [-121.408401, -83.049797, -599.444397],[0.000041,0.000135,-0.000041,-0.000135]]
