
Thu Jan  1 00:00:01 1970

Flight Log #38
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2720, 0, [-0.009924,-0.026743,3.005042],[0.000000,0.000000,0.000000], [0.021950, 0.017607, -0.023731], 12, [0.019613, -0.254973, -9.983170], [-0.116083, -0.284031, 9.727169], [-92.000000, 67.000000, -40.000000], [-199.736404, -10.006000, -687.267578],[-0.000352,-0.000352,0.000352,0.000352]]
DATA[2790, 0, [-0.010034,-0.027645,3.014008],[0.000000,0.000000,0.000000], [0.023383, 0.017970, -0.023627], 12, [-0.019613, -0.196133, -10.002783], [-0.123576, -0.296480, 9.723553], [-94.000000, 69.000000, -42.000000], [-204.631897, -8.004800, -692.373596],[-0.000359,-0.000359,0.000359,0.000359]]
DATA[2850, 0, [-0.010351,-0.028100,3.014598],[0.000000,0.000000,0.000000], [0.022418, 0.017976, -0.023163], 12, [0.039227, -0.235360, -9.963556], [-0.117579, -0.289676, 9.721530], [-93.000000, 71.000000, -40.000000], [-198.757294, -7.004200, -686.246399],[-0.000360,-0.000360,0.000360,0.000360]]
DATA[2910, 0, [-0.010219,-0.027979,3.019162],[0.000000,0.000000,0.000000], [0.021684, 0.018295, -0.021581], 12, [0.058840, -0.274586, -9.963556], [-0.117682, -0.283512, 9.728227], [-92.000000, 75.000000, -42.000000], [-206.590103, -7.004200, -689.309998],[-0.000366,-0.000366,0.000366,0.000366]]
DATA[2970, 0, [-0.010185,-0.027408,2.983034],[0.000000,0.000000,0.000000], [0.022568, 0.018393, -0.022228], 12, [0.039227, -0.215746, -9.963556], [-0.118240, -0.273053, 9.731629], [-89.000000, 69.000000, -43.000000], [-204.631897, -15.009000, -687.267578],[-0.000368,-0.000368,0.000368,0.000368]]
DATA[3040, 0, [-0.009791,-0.026955,3.034311],[0.000000,0.000000,0.000000], [0.023434, 0.019900, -0.020895], 12, [0.058840, -0.254973, -10.002783], [-0.112306, -0.274137, 9.735398], [-93.000000, 70.000000, -38.000000], [-201.694595, -4.002400, -684.203979],[-0.000398,-0.000398,0.000398,0.000398]]
DATA[3100, 0, [-0.009878,-0.027045,3.030711],[0.000000,0.000000,0.000000], [0.025312, 0.020116, -0.022618], 12, [-0.019613, -0.235360, -9.963556], [-0.121134, -0.284457, 9.738976], [-91.000000, 73.000000, -39.000000], [-196.799103, -4.002400, -690.331177],[-0.000402,-0.000402,0.000402,0.000402]]
DATA[3170, 0, [-0.009971,-0.026761,3.035495],[0.000000,0.000000,0.000000], [0.023839, 0.020916, -0.024105], 12, [0.117680, -0.313813, -10.042009], [-0.119962, -0.274502, 9.739779], [-95.000000, 73.000000, -37.000000], [-206.590103, -7.004200, -683.182800],[-0.000413,-0.000413,0.000413,0.000413]]
DATA[3230, 0, [-0.010296,-0.026859,3.051861],[0.000000,0.000000,0.000000], [0.022341, 0.018649, -0.023248], 12, [-0.039227, -0.098067, -10.022396], [-0.117266, -0.270372, 9.752685], [-90.000000, 68.000000, -40.000000], [-197.778198, 0.000000, -686.246399],[-0.000373,-0.000373,0.000373,0.000373]]
DATA[3290, 0, [-0.010902,-0.026477,3.036326],[0.000000,0.000000,0.000000], [0.021929, 0.018498, -0.021819], 12, [-0.078453, -0.254973, -10.022396], [-0.144774, -0.262911, 9.747183], [-93.000000, 68.000000, -39.000000], [-196.799103, -3.001800, -702.585571],[-0.000370,-0.000370,0.000370,0.000370]]
