
Thu Jan  1 00:00:01 1970

Flight Log #31
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1420, 0, [0.018287,-0.016247,2.418120],[0.000000,0.000000,0.000000], [0.016033, 0.020545, -0.021343], 13, [-0.235360, -0.156906, -9.983170], [0.168631, -0.176772, 9.730838], [107.000000, 52.000000, 557.000000], [-140.990402, -105.063004, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[1460, 0, [0.018745,-0.016194,2.498096],[0.000000,0.000000,0.000000], [0.014515, 0.019848, -0.022169], 13, [-0.019613, -0.235360, -9.963556], [0.187229, -0.171198, 9.703988], [107.000000, 54.000000, 561.000000], [-154.697800, -98.058800, -594.338379],[0.000000,0.000000,0.000000,0.000000]]
DATA[1500, 0, [0.018328,-0.016395,2.453176],[0.000000,0.000000,0.000000], [0.015398, 0.016881, -0.022358], 13, [-0.019613, -0.176520, -10.022396], [0.135219, -0.185318, 9.715866], [109.000000, 51.000000, 561.000000], [-156.656006, -110.066002, -598.423218],[0.000000,0.000000,0.000000,0.000000]]
DATA[1540, 0, [0.018402,-0.016404,2.431513],[0.000000,0.000000,0.000000], [0.016194, 0.018443, -0.022111], 12, [-0.274586, -0.176520, -0.098067], [0.188010, -0.172553, 9.866015], [117.000000, 51.000000, 563.000000], [-150.781403, -110.066002, -607.614014],[0.000000,0.000000,0.000000,0.000000]]
DATA[1580, 0, [0.018826,-0.016232,2.395619],[0.000000,0.000000,0.000000], [0.016568, 0.020619, -0.021847], 12, [-0.058840, -0.274586, -0.156906], [0.176865, -0.171305, 9.732851], [110.000000, 47.000000, 559.000000], [-155.676895, -124.074402, -589.232422],[0.000000,0.000000,0.000000,0.000000]]
DATA[1620, 0, [0.019315,-0.016713,2.443957],[0.000000,0.000000,0.000000], [0.019887, 0.020066, -0.021217], 12, [-0.235360, -0.176520, -0.117680], [0.186763, -0.203318, 9.625278], [102.000000, 59.000000, 560.000000], [-152.739594, -108.064796, -607.614014],[0.000000,0.000000,0.000000,0.000000]]
DATA[1660, 0, [0.018793,-0.017472,2.447664],[0.000000,0.000000,0.000000], [0.019733, 0.020026, -0.021077], 12, [-0.176520, -0.254973, -10.257756], [0.131094, -0.208750, 9.738412], [102.000000, 44.000000, 561.000000], [-148.823196, -104.062401, -597.401978],[0.000000,0.000000,0.000000,0.000000]]
DATA[1700, 0, [0.018242,-0.018154,2.459700],[0.000000,0.000000,0.000000], [0.021132, 0.018479, -0.021207], 12, [-0.254973, -0.156906, -9.963556], [0.153216, -0.212461, 9.730315], [103.000000, 48.000000, 564.000000], [-151.760498, -103.061798, -611.698792],[0.000000,0.000000,0.000000,0.000000]]
DATA[1740, 0, [0.017960,-0.018479,2.468657],[0.000000,0.000000,0.000000], [0.020585, 0.017660, -0.021554], 12, [-0.254973, -0.156906, -10.002783], [0.148414, -0.198884, 9.730619], [107.000000, 44.000000, 564.000000], [-151.760498, -101.060600, -607.614014],[0.000000,0.000000,0.000000,0.000000]]
DATA[1780, 0, [0.017831,-0.018586,2.490644],[0.000000,0.000000,0.000000], [0.020700, 0.017837, -0.021542], 12, [-0.235360, -0.098067, -9.983170], [0.153626, -0.199746, 9.740101], [106.000000, 46.000000, 558.000000], [-155.676895, -99.059402, -607.614014],[0.000000,0.000000,0.000000,0.000000]]
DATA[1820, 0, [0.017632,-0.018409,2.448475],[0.000000,0.000000,0.000000], [0.020629, 0.018605, -0.021604], 12, [-0.254973, -0.254973, -10.002783], [0.144795, -0.185190, 9.759442], [108.000000, 44.000000, 561.000000], [-151.760498, -106.063599, -605.571594],[0.000000,0.000000,0.000000,0.000000]]
DATA[1860, 0, [0.017205,-0.017876,2.478649],[0.000000,0.000000,0.000000], [0.022031, 0.017625, -0.020809], 12, [-0.196133, -0.137293, -10.042009], [0.133644, -0.170972, 9.744678], [108.000000, 44.000000, 562.000000], [-153.718704, -101.060600, -606.592773],[0.000000,0.000000,0.000000,0.000000]]
