
Thu Jan  1 00:00:01 1970

Flight Log #17
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2250, 0, [-0.011803,-0.011480,-2.545972],[0.000000,0.000000,0.000000], [0.005152, 0.018995, -0.013537], 15, [0.000000, -0.078453, -10.022396], [-0.146254, -0.096588, 9.733413], [52.000000, 40.000000, 552.000000], [-103.784599, -78.046799, -600.465576],[-0.001148,-0.001148,0.001148,0.001148]]
DATA[2320, 0, [-0.011755,-0.011347,-2.541397],[0.000000,0.000000,0.000000], [0.007574, 0.019101, -0.012245], 15, [-0.098067, -0.058840, -0.039227], [-0.155178, -0.090909, 9.731902], [52.000000, 46.000000, 552.000000], [-102.805496, -78.046799, -605.571594],[-0.001135,-0.001135,0.001135,0.001135]]
DATA[2400, 0, [-0.011902,-0.011418,-2.516390],[0.000000,0.000000,0.000000], [0.008515, 0.019061, -0.011979], 15, [0.000000, -0.019613, -10.042009], [-0.166131, -0.088023, 9.736329], [54.000000, 46.000000, 552.000000], [-105.742798, -84.050400, -598.423218],[-0.001142,-0.001142,0.001142,0.001142]]
DATA[2480, 0, [-0.011968,-0.011582,-2.505759],[0.000000,0.000000,0.000000], [0.006745, 0.018819, -0.011215], 15, [0.098067, 0.000000, -10.022396], [-0.156751, -0.095616, 9.725804], [55.000000, 45.000000, 553.000000], [-97.910004, -80.047997, -598.423218],[-0.001157,-0.001157,0.001157,0.001157]]
DATA[2560, 0, [-0.011894,-0.011534,-2.527463],[0.000000,0.000000,0.000000], [0.006386, 0.019022, -0.012694], 15, [0.039227, -0.098067, -10.042009], [-0.152886, -0.096676, 9.735263], [54.000000, 40.000000, 550.000000], [-99.868202, -78.046799, -590.253601],[-0.001153,-0.001153,0.001153,0.001153]]
DATA[2640, 0, [-0.011967,-0.011524,-2.554563],[0.000000,0.000000,0.000000], [0.006278, 0.017953, -0.011376], 15, [0.000000, 0.000000, -0.019613], [-0.157136, -0.090524, 9.722892], [55.000000, 44.000000, 553.000000], [-102.805496, -76.045601, -594.338379],[-0.001156,-0.001156,0.001156,0.001156]]
DATA[2720, 0, [-0.012148,-0.011815,-2.532859],[0.000000,0.000000,0.000000], [0.006583, 0.020172, -0.012029], 16, [0.058840, -0.117680, -10.022396], [-0.157241, -0.103526, 9.718039], [53.000000, 43.000000, 554.000000], [-107.700996, -83.049797, -599.444397],[-0.001177,-0.001177,0.001177,0.001177]]
DATA[2800, 0, [-0.012062,-0.011721,-2.507893],[0.000000,0.000000,0.000000], [0.006439, 0.020510, -0.013259], 16, [-0.039227, -0.058840, -0.039227], [-0.150924, -0.100399, 9.723578], [51.000000, 46.000000, 550.000000], [-96.930901, -79.047401, -595.359619],[-0.001172,-0.001172,0.001172,0.001172]]
DATA[2870, 0, [-0.012042,-0.011606,-2.512221],[0.000000,0.000000,0.000000], [0.003966, 0.021100, -0.013789], 16, [0.000000, -0.137293, -9.943943], [-0.155606, -0.091331, 9.729302], [51.000000, 41.000000, 552.000000], [-97.910004, -79.047401, -595.359619],[-0.001161,-0.001161,0.001161,0.001161]]
DATA[2940, 0, [-0.011982,-0.011564,-2.562049],[0.000000,0.000000,0.000000], [0.004649, 0.020328, -0.013371], 16, [-0.019613, -0.039227, -0.039227], [-0.158521, -0.094304, 9.730954], [52.000000, 47.000000, 553.000000], [-113.575600, -82.049202, -591.274780],[-0.001156,-0.001156,0.001156,0.001156]]
DATA[3020, 0, [-0.011945,-0.011536,-2.520070],[0.000000,0.000000,0.000000], [0.006656, 0.019623, -0.012293], 16, [-0.019613, -0.039227, -9.983170], [-0.156564, -0.091877, 9.732780], [54.000000, 38.000000, 549.000000], [-103.784599, -82.049202, -593.317200],[-0.001154,-0.001154,0.001154,0.001154]]
DATA[3100, 0, [-0.011685,-0.011316,-2.504434],[0.000000,0.000000,0.000000], [0.006974, 0.019238, -0.011995], 16, [0.000000, -0.098067, -10.002783], [-0.150222, -0.090717, 9.729503], [54.000000, 46.000000, 553.000000], [-101.826401, -83.049797, -602.507996],[-0.001134,-0.001134,0.001134,0.001134]]
DATA[3180, 0, [-0.011895,-0.011418,-2.476722],[0.000000,0.000000,0.000000], [0.006895, 0.017993, -0.013165], 16, [0.137293, -0.039227, -9.963556], [-0.167033, -0.090961, 9.729790], [54.000000, 40.000000, 552.000000], [-103.784599, -89.053398, -590.253601],[-0.001138,-0.001138,0.001138,0.001138]]
DATA[3260, 0, [-0.012077,-0.011719,-2.438494],[0.000000,0.000000,0.000000], [0.005404, 0.020177, -0.011647], 16, [0.078453, -0.039227, -10.042009], [-0.152355, -0.094902, 9.693292], [48.000000, 48.000000, 553.000000], [-91.056297, -85.051003, -593.317200],[-0.001172,-0.001172,0.001172,0.001172]]
DATA[3340, 0, [-0.012261,-0.011858,-2.470938],[0.000000,0.000000,0.000000], [0.005658, 0.019380, -0.011657], 16, [0.000000, -0.117680, -0.019613], [-0.163833, -0.096229, 9.728734], [20.000000, 64.000000, 551.000000], [-102.805496, -90.054001, -597.401978],[-0.001186,-0.001186,0.001186,0.001186]]
DATA[3410, 0, [-0.012817,-0.012324,-2.471188],[0.000000,0.000000,0.000000], [0.006830, 0.020687, -0.012145], 16, [0.000000, -0.098067, -0.019613], [-0.183480, -0.106480, 9.695222], [52.000000, 32.000000, 552.000000], [-96.930901, -85.051003, -586.168823],[-0.001221,-0.001221,0.001221,0.001221]]
DATA[3480, 0, [-0.012228,-0.011925,-2.519559],[0.000000,0.000000,0.000000], [0.008007, 0.019182, -0.011972], 15, [0.000000, -0.058840, -0.058840], [-0.145612, -0.095376, 9.742623], [53.000000, 46.000000, 554.000000], [-111.617401, -88.052803, -592.296021],[-0.001201,-0.001201,0.001201,0.001201]]
