
Thu Jan  1 00:00:01 1970

Flight Log #31
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2530, 0, [0.001133,-0.003131,2.506932],[0.000000,0.000000,0.000000], [0.011787, 0.018850, -0.017465], 14, [-0.117680, -0.058840, -10.002783], [0.011864, -0.039170, 9.727826], [100.000000, 3.000000, 561.000000], [-152.739594, -110.066002, -603.529175],[0.029068,-0.004174,-0.029068,0.004174]]
DATA[2610, 0, [0.001170,-0.002487,2.449938],[0.000000,0.000000,0.000000], [0.012079, 0.017407, -0.019570], 14, [-0.156906, -0.058840, -10.042009], [-0.004441, -0.032996, 9.731226], [99.000000, 9.000000, 563.000000], [-139.032196, -113.067802, -598.423218],[0.029318,-0.004099,-0.029318,0.004099]]
DATA[2680, 0, [0.001601,-0.002586,2.465817],[0.000000,0.000000,0.000000], [0.012568, 0.017084, -0.017490], 14, [-0.156906, -0.019613, -0.137293], [0.021110, -0.047849, 9.733242], [98.000000, 6.000000, 564.000000], [-143.927704, -113.067802, -599.444397],[0.029638,-0.004021,-0.029638,0.004021]]
DATA[2760, 0, [0.001427,-0.003259,2.475804],[0.000000,0.000000,0.000000], [0.016167, 0.018688, -0.018653], 14, [-0.176520, 0.019613, -0.156906], [-0.002053, -0.051683, 9.726612], [96.000000, 5.000000, 562.000000], [-149.802307, -115.069000, -591.274780],[0.029982,-0.003887,-0.029982,0.003887]]
DATA[2840, 0, [0.000633,-0.002896,2.473399],[0.000000,0.000000,0.000000], [0.009182, 0.016207, -0.018746], 14, [-0.098067, -0.019613, -9.983170], [-0.016305, -0.046298, 9.738748], [95.000000, 3.000000, 563.000000], [-141.969498, -110.066002, -587.190002],[0.030304,-0.003688,-0.030304,0.003688]]
DATA[2900, 0, [0.002375,-0.004378,2.464596],[0.000000,0.000000,0.000000], [0.013716, 0.014734, -0.017864], 14, [-0.176520, -0.019613, -0.019613], [0.049824, -0.080007, 9.710830], [98.000000, 4.000000, 562.000000], [-147.844101, -115.069000, -597.401978],[0.030708,-0.003548,-0.030708,0.003548]]
DATA[2980, 0, [0.002631,-0.004442,2.473562],[0.000000,0.000000,0.000000], [0.007142, 0.011185, -0.018697], 14, [-0.235360, -0.019613, -10.022396], [0.020753, -0.043447, 9.724239], [95.000000, 3.000000, 564.000000], [-150.781403, -115.069000, -599.444397],[0.031350,-0.003409,-0.031350,0.003409]]
DATA[3060, 0, [0.002896,-0.005139,2.449780],[0.000000,0.000000,0.000000], [0.011554, 0.016417, -0.018952], 14, [-0.098067, -0.078453, -9.963556], [0.018082, -0.078864, 9.724550], [95.000000, 4.000000, 566.000000], [-144.906799, -120.071999, -598.423218],[0.031919,-0.003250,-0.031919,0.003250]]
DATA[3120, 0, [0.002586,-0.004292,2.460329],[0.000000,0.000000,0.000000], [0.010729, 0.016970, -0.018149], 14, [-0.117680, -0.019613, -9.943943], [0.009423, -0.035626, 9.729678], [97.000000, 2.000000, 562.000000], [-147.844101, -116.069603, -594.338379],[0.032395,-0.003129,-0.032395,0.003129]]
DATA[3200, 0, [0.002211,-0.003816,2.443208],[0.000000,0.000000,0.000000], [0.017078, 0.017803, -0.018498], 14, [-0.078453, 0.019613, -0.078453], [0.007322, -0.046510, 9.739071], [95.000000, 1.000000, 563.000000], [-145.885895, -119.071404, -600.465576],[0.032856,-0.003004,-0.032856,0.003004]]
DATA[3280, 0, [0.002130,-0.003398,2.472560],[0.000000,0.000000,0.000000], [0.012263, 0.018231, -0.018381], 14, [-0.019613, -0.078453, -0.019613], [0.003223, -0.044952, 9.742067], [97.000000, 3.000000, 561.000000], [-146.865005, -113.067802, -601.486816],[0.033297,-0.002916,-0.033297,0.002916]]
DATA[3350, 0, [0.002114,-0.003517,2.465690],[0.000000,0.000000,0.000000], [0.013349, 0.019784, -0.016286], 14, [-0.098067, -0.078453, -9.924330], [0.010094, -0.055146, 9.742423], [94.000000, 4.000000, 562.000000], [-144.906799, -113.067802, -601.486816],[0.033688,-0.002815,-0.033688,0.002815]]
DATA[3430, 0, [0.002089,-0.003483,2.444919],[0.000000,0.000000,0.000000], [0.011534, 0.019020, -0.017310], 14, [-0.176520, 0.019613, -0.137293], [0.012404, -0.054603, 9.742173], [93.000000, 2.000000, 566.000000], [-144.906799, -118.070801, -604.550415],[0.034130,-0.002706,-0.034130,0.002706]]
DATA[3510, 0, [0.002099,-0.003180,2.459980],[0.000000,0.000000,0.000000], [0.012985, 0.020858, -0.018084], 14, [-0.078453, -0.039227, -9.983170], [0.005865, -0.043645, 9.740864], [95.000000, 5.000000, 563.000000], [-142.948593, -113.067802, -596.380798],[0.034564,-0.002617,-0.034564,0.002617]]
DATA[3580, 0, [0.002170,-0.003246,2.435270],[0.000000,0.000000,0.000000], [0.011701, 0.019762, -0.017485], 14, [-0.137293, 0.078453, -10.002783], [0.013337, -0.054082, 9.733810], [93.000000, 2.000000, 562.000000], [-147.844101, -123.073799, -600.465576],[0.034935,-0.002546,-0.034935,0.002546]]
DATA[3660, 0, [0.002033,-0.003427,2.493035],[0.000000,0.000000,0.000000], [0.013199, 0.019607, -0.019025], 14, [-0.176520, -0.019613, -10.022396], [0.008055, -0.053061, 9.730123], [95.000000, 0.000000, 565.000000], [-151.760498, -112.067200, -595.359619],[0.035373,-0.002430,-0.035373,0.002430]]
DATA[3740, 0, [0.001913,-0.003448,2.433691],[0.000000,0.000000,0.000000], [0.012916, 0.018605, -0.019123], 14, [-0.137293, -0.058840, -0.019613], [0.011323, -0.051682, 9.731680], [96.000000, 9.000000, 564.000000], [-138.053101, -115.069000, -607.614014],[0.035738,-0.002315,-0.035738,0.002315]]
DATA[3820, 0, [0.001498,-0.003566,2.490507],[0.000000,0.000000,0.000000], [0.013563, 0.017756, -0.018991], 14, [-0.156906, 0.000000, -10.002783], [-0.001938, -0.046551, 9.723085], [96.000000, 3.000000, 563.000000], [-144.906799, -116.069603, -598.423218],[0.036146,-0.002144,-0.036146,0.002144]]
DATA[3890, 0, [0.001132,-0.003436,2.478689],[0.000000,0.000000,0.000000], [0.015754, 0.019788, -0.019037], 14, [-0.176520, -0.019613, -10.002783], [-0.009093, -0.049399, 9.725686], [96.000000, 10.000000, 563.000000], [-142.948593, -109.065399, -589.232422],[0.036515,-0.001964,-0.036515,0.001964]]
DATA[3970, 0, [0.001779,-0.003578,2.438108],[0.000000,0.000000,0.000000], [0.014825, 0.018384, -0.018636], 14, [-0.196133, -0.019613, -10.022396], [0.020386, -0.052584, 9.723583], [95.000000, 6.000000, 564.000000], [-143.927704, -119.071404, -593.317200],[0.036919,-0.001800,-0.036919,0.001800]]
DATA[4050, 0, [0.002142,-0.003785,2.420209],[0.000000,0.000000,0.000000], [0.012985, 0.016718, -0.019469], 14, [-0.117680, -0.019613, -9.983170], [0.008205, -0.049719, 9.728106], [97.000000, 8.000000, 566.000000], [-144.906799, -117.070198, -594.338379],[0.037365,-0.001705,-0.037365,0.001705]]
DATA[4120, 0, [0.001725,-0.003674,2.435138],[0.000000,0.000000,0.000000], [0.012939, 0.018441, -0.018243], 14, [-0.058840, -0.019613, -10.022396], [-0.002212, -0.053736, 9.729178], [98.000000, 9.000000, 564.000000], [-141.969498, -118.070801, -599.444397],[0.037790,-0.001553,-0.037790,0.001553]]
DATA[4200, 0, [0.001940,-0.003332,2.477183],[0.000000,0.000000,0.000000], [0.013266, 0.020660, -0.016282], 14, [-0.176520, 0.039227, -9.963556], [0.010151, -0.044109, 9.720800], [96.000000, 9.000000, 564.000000], [-146.865005, -112.067200, -609.656372],[0.038159,-0.001451,-0.038159,0.001451]]
