
Thu Jan  1 00:01:23 1970

Flight Log #14
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2300, 0, [-0.020530,-0.019202,-2.328122],[0.000000,0.000000,0.000000], [0.006340, -0.004858, -0.019733], 15, [-0.137293, 0.000000, -0.019613], [-0.327377, -0.053867, 9.781428], [27.000000, 23.000000, 560.000000], [-95.951797, -115.069000, -600.465576],[0.000000,0.000000,0.000000,0.000000]]
DATA[2380, 0, [-0.019767,-0.018307,-2.361100],[0.000000,0.000000,0.000000], [0.006997, 0.007245, -0.019176], 15, [0.117680, -0.039227, -10.042009], [-0.313353, -0.036114, 9.747514], [29.000000, 29.000000, 561.000000], [-92.035400, -106.063599, -605.571594],[0.000000,0.000000,0.000000,0.000000]]
DATA[2450, 0, [-0.018588,-0.017705,-2.337136],[0.000000,0.000000,0.000000], [0.006895, 0.010359, -0.016594], 15, [-0.117680, -0.098067, -0.117680], [-0.262977, -0.096414, 9.734527], [29.000000, 23.000000, 561.000000], [-88.119003, -104.062401, -612.719971],[0.000000,0.000000,0.000000,0.000000]]
DATA[2530, 0, [-0.020042,-0.018332,-2.360670],[0.000000,0.000000,0.000000], [0.037915, 0.015661, -0.011975], 15, [0.353039, 0.098067, -9.943943], [-0.371298, -0.069535, 9.667195], [26.000000, 21.000000, 560.000000], [-91.056297, -103.061798, -602.507996],[0.000000,0.000000,0.000000,0.000000]]
DATA[2610, 0, [-0.018952,-0.017562,-2.285797],[0.000000,0.000000,0.000000], [0.016487, 0.008521, -0.014749], 15, [0.117680, -0.019613, -0.078453], [-0.309006, -0.026972, 9.680654], [27.000000, 27.000000, 559.000000], [-81.265297, -106.063599, -610.677612],[0.000000,0.000000,0.000000,0.000000]]
DATA[2690, 0, [-0.019114,-0.017464,-2.312395],[0.000000,0.000000,0.000000], [0.009896, 0.011306, -0.016466], 15, [-0.137293, -0.156906, -9.983170], [-0.373425, -0.046197, 9.684610], [29.000000, 19.000000, 561.000000], [-84.202599, -104.062401, -596.380798],[0.000000,0.000000,0.000000,0.000000]]
DATA[2760, 0, [-0.019772,-0.018328,-2.273559],[0.000000,0.000000,0.000000], [0.015954, 0.017037, -0.013478], 15, [-0.098067, 0.039227, -9.963556], [-0.321659, -0.071367, 9.689434], [29.000000, 24.000000, 557.000000], [-87.139900, -116.069603, -610.677612],[0.000000,0.000000,0.000000,0.000000]]
DATA[2840, 0, [-0.019052,-0.017375,-2.306860],[0.000000,0.000000,0.000000], [0.003880, 0.016163, -0.014374], 15, [-0.019613, 0.058840, -9.963556], [-0.324681, -0.012722, 9.784614], [29.000000, 26.000000, 562.000000], [-82.244400, -103.061798, -608.635193],[0.000000,0.000000,0.000000,0.000000]]
DATA[2910, 0, [-0.018959,-0.017582,-2.353236],[0.000000,0.000000,0.000000], [0.006624, 0.006671, -0.016597], 15, [-0.098067, -0.117680, -10.002783], [-0.333058, -0.075147, 9.703475], [26.000000, 21.000000, 560.000000], [-93.993599, -107.064201, -611.698792],[0.000000,0.000000,0.000000,0.000000]]
DATA[2990, 0, [-0.021184,-0.019062,-2.291134],[0.000000,0.000000,0.000000], [0.007583, 0.010940, -0.015346], 15, [-0.019613, 0.019613, -10.042009], [-0.406712, -0.040951, 9.679454], [30.000000, 22.000000, 562.000000], [-87.139900, -113.067802, -614.762390],[0.000000,0.000000,0.000000,0.000000]]
DATA[3070, 0, [-0.020885,-0.019091,-2.270719],[0.000000,0.000000,0.000000], [0.007708, 0.012869, -0.015976], 15, [-0.078453, 0.000000, -0.058840], [-0.360843, -0.024145, 9.721114], [30.000000, 25.000000, 559.000000], [-82.244400, -111.066597, -597.401978],[0.000000,0.000000,0.000000,0.000000]]
DATA[3150, 0, [-0.021095,-0.019325,-2.322543],[0.000000,0.000000,0.000000], [0.010828, 0.009313, -0.015919], 15, [-0.156906, 0.098067, -9.904716], [-0.375642, -0.049823, 9.705608], [27.000000, 15.000000, 559.000000], [-92.035400, -112.067200, -599.444397],[0.000000,0.000000,0.000000,0.000000]]
DATA[3230, 0, [-0.020629,-0.018910,-2.325268],[0.000000,0.000000,0.000000], [-0.000270, 0.013475, -0.016373], 15, [-0.019613, -0.058840, -9.983170], [-0.348511, -0.039414, 9.756966], [26.000000, 19.000000, 558.000000], [-86.160797, -105.063004, -610.677612],[0.000000,0.000000,0.000000,0.000000]]
DATA[3310, 0, [-0.021371,-0.019679,-2.320836],[0.000000,0.000000,0.000000], [-0.001598, 0.002753, -0.020311], 15, [-0.039227, 0.098067, -9.924330], [-0.368426, -0.060711, 9.697942], [31.000000, 28.000000, 562.000000], [-82.244400, -102.061203, -606.592773],[0.000000,0.000000,0.000000,0.000000]]
DATA[3390, 0, [-0.020577,-0.019572,-2.312516],[0.000000,0.000000,0.000000], [0.006274, 0.006885, -0.017709], 15, [-0.058840, -0.019613, -9.983170], [-0.281592, -0.094771, 9.746935], [27.000000, 22.000000, 562.000000], [-90.077202, -112.067200, -601.486816],[0.000000,0.000000,0.000000,0.000000]]
DATA[3470, 0, [-0.020059,-0.019038,-2.290193],[0.000000,0.000000,0.000000], [0.016977, 0.014479, -0.012559], 15, [-0.019613, 0.000000, -0.039227], [-0.293275, -0.109274, 9.740524], [25.000000, 20.000000, 559.000000], [-80.286201, -105.063004, -609.656372],[0.000000,0.000000,0.000000,0.000000]]
DATA[3540, 0, [-0.019594,-0.018315,-2.301303],[0.000000,0.000000,0.000000], [0.020516, 0.008211, -0.012054], 15, [-0.156906, -0.098067, -0.058840], [-0.317812, -0.038677, 9.677276], [19.000000, 25.000000, 563.000000], [-93.993599, -118.070801, -607.614014],[0.000000,0.000000,0.000000,0.000000]]
DATA[3620, 0, [-0.021183,-0.018740,-2.282407],[0.000000,0.000000,0.000000], [0.017037, 0.012732, -0.014495], 15, [-0.156906, -0.098067, -10.238143], [-0.493771, -0.013930, 9.517883], [6.000000, 23.000000, 560.000000], [-86.160797, -121.072601, -599.444397],[0.000000,0.000000,0.000000,0.000000]]
