
Thu Jan  1 00:02:15 1970

Flight Log #48
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.4'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], rover_ex_gyro_temp, [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2350, 0, [-0.009597,-0.032565,3.006478],[0.000000,0.000000,0.000000], [0.010491, 0.000289, -0.016790], 14, [0.058840, -0.117680, -0.137293], [-0.190073, -0.312797, 9.790243], [-85.000000, 57.000000, -46.000000], [-203.652802, -7.004200, -661.737610],[0.249589,0.249572,0.250411,0.250428]]
DATA[2420, 0, [-0.014182,-0.032436,3.046090],[0.000000,0.000000,0.000000], [0.019419, 0.007401, -0.016338], 14, [0.098067, -0.176520, -9.983170], [-0.200937, -0.309098, 9.738010], [-81.000000, 62.000000, -44.000000], [-202.673706, -7.004200, -670.928406],[0.249461,0.249088,0.250539,0.250912]]
DATA[2480, 0, [-0.016720,-0.031168,3.040020],[0.000000,0.000000,0.000000], [0.009173, 0.021676, -0.015949], 14, [-0.156906, -0.176520, -10.650023], [-0.213609, -0.302296, 9.753161], [-112.000000, -21.000000, 862.000000], [-201.694595, -1.000600, -663.780029],[0.250283,0.248983,0.249717,0.251017]]
DATA[2540, 0, [-0.016712,-0.027625,2.715653],[0.000000,0.000000,0.000000], [0.013142, 0.011089, -0.013969], 14, [-0.098067, -0.568786, -8.786758], [-0.148469, -0.252578, 9.792601], [54.000000, 87.000000, -20.000000], [-197.778198, -77.046204, -633.143982],[0.249807,0.249142,0.250193,0.250858]]
DATA[2600, 0, [-0.015435,-0.028283,2.708758],[0.000000,0.000000,0.000000], [0.014139, -0.009896, -0.010334], 14, [-0.078453, -0.039227, -9.904716], [-0.086721, -0.288389, 9.810161], [-113.000000, -48.000000, -110.000000], [-146.865005, -55.033001, -606.592773],[0.249138,0.249731,0.250862,0.250269]]
DATA[2670, 0, [-0.016044,-0.028263,2.867845],[0.000000,0.000000,0.000000], [0.003642, 0.022694, -0.009300], 14, [-0.156906, 0.411879, -0.117680], [-0.262019, -0.118007, 9.667640], [79.000000, -152.000000, 840.000000], [-203.652802, -208.124802, -661.737610],[0.250490,0.249287,0.249510,0.250713]]
DATA[2730, 0, [-0.012780,-0.027757,2.420756],[0.000000,0.000000,0.000000], [0.009880, 0.019561, 0.005134], 14, [1.039505, -0.156906, -0.058840], [-0.071856, -0.359156, 9.174109], [117.000000, 17.000000, 800.000000], [-146.865005, -118.070801, -662.758789],[0.250192,0.249018,0.249808,0.250982]]
DATA[2800, 0, [-0.007574,-0.028959,2.472147],[0.000000,0.000000,0.000000], [0.008285, 0.022482, -0.004361], 14, [-0.156906, -0.019613, -12.199472], [-0.192224, -0.305996, 9.514052], [55.000000, 58.000000, 842.000000], [-172.321594, -123.073799, -580.041626],[0.300233,0.298922,0.299767,0.301078]]
DATA[2870, 0, [-0.006676,-0.025789,3.108621],[0.000000,0.000000,0.000000], [0.010764, 0.017777, 0.006297], 14, [-2.098623, 0.137293, -0.137293], [-0.097801, -0.147056, 9.142608], [117.000000, -166.000000, -96.000000], [-280.022614, 4.002400, -517.748413],[0.300103,0.299036,0.299897,0.300964]]
DATA[2930, 0, [-0.005851,-0.021072,2.351129],[0.000000,0.000000,0.000000], [0.011825, 0.018549, 0.004297], 14, [-1.255251, -0.058840, -5.923217], [-0.012611, -0.174022, 9.281526], [-63.000000, 60.000000, 850.000000], [-202.673706, -194.116394, -701.564392],[0.300084,0.298971,0.299917,0.301030]]
DATA[2950, 0, [-0.004985,-0.021473,2.539155],[0.000000,0.000000,0.000000], [0.011889, 0.017427, 0.003392], 14, [-0.509946, -0.058840, -0.039227], [0.016186, -0.247865, 9.298421], [51.000000, -62.000000, -18.000000], [-98.889099, -57.034199, -608.635193],[0.300047,0.299002,0.299953,0.300998]]
DATA[3010, 0, [-0.012418,-0.024687,2.457848],[0.000000,0.000000,0.000000], [0.004534, 0.016179, 0.002235], 14, [-0.078453, 0.647239, -0.156906], [-0.355680, -0.301886, 9.322028], [108.000000, -10.000000, -104.000000], [-213.443802, -166.099594, -537.151184],[0.350304,0.349333,0.349696,0.350667]]
DATA[3080, 0, [-0.031354,-0.018701,2.065635],[0.000000,0.000000,0.000000], [0.012023, 0.003355, -0.005663], 14, [-0.098067, -0.902212, -0.156906], [-0.598426, -0.054187, 9.526971], [91.000000, -68.000000, -7.000000], [-154.697800, -310.186005, -607.614014],[0.349620,0.349418,0.350380,0.350582]]
DATA[3140, 0, [-0.038189,-0.015882,2.105870],[0.000000,0.000000,0.000000], [0.010953, 0.008179, -0.007813], 14, [-0.156906, 1.922103, -11.297260], [-0.373547, -0.073528, 9.689815], [9.000000, -146.000000, -46.000000], [-105.742798, -206.123596, -577.999207],[0.349807,0.349317,0.350193,0.350684]]
DATA[3210, 0, [-0.038266,-0.018031,2.150921],[0.000000,0.000000,0.000000], [0.015050, 0.000117, -0.012695], 14, [-0.019613, -0.627626, -4.883712], [-0.423483, -0.249188, 9.643469], [72.000000, 67.000000, 894.000000], [-184.070801, -306.183594, -639.271179],[0.399402,0.399395,0.400599,0.400605]]
DATA[3280, 0, [-0.032327,-0.025963,2.037411],[0.000000,0.000000,0.000000], [0.017484, -0.001450, 0.001169], 14, [4.412992, 1.961330, -8.335652], [-0.082753, -0.294691, 9.527923], [36.000000, -33.000000, 1063.000000], [-119.450203, -261.156586, -641.313599],[0.399299,0.399442,0.400701,0.400558]]
DATA[3340, 0, [-0.024093,-0.031944,1.876435],[0.000000,0.000000,0.000000], [0.006744, 0.027820, 0.005363], 14, [-1.745584, -4.922938, -0.039227], [-0.156781, -0.531509, 9.529128], [78.000000, 8.000000, -66.000000], [-114.554703, -385.230988, -518.769592],[0.400565,0.398896,0.399435,0.401104]]
DATA[3370, 0, [-0.019753,-0.037841,1.953037],[0.000000,0.000000,0.000000], [0.007193, 0.024272, 0.000647], 14, [-0.078453, -0.039227, -0.137293], [-0.019417, -0.695778, 9.671126], [40.000000, -169.000000, 1119.000000], [-173.300705, -437.262207, -600.465576],[0.400608,0.398945,0.399392,0.401056]]
DATA[3420, 0, [-0.006103,-0.078152,2.703264],[0.000000,0.000000,0.000000], [0.012912, 0.023755, -0.005754], 14, [-0.058840, -0.156906, -13.376270], [-0.147776, -1.034743, 9.733421], [43.000000, -97.000000, 1026.000000], [-315.270203, -111.066597, -492.218414],[0.450196,0.448771,0.449804,0.451229]]
DATA[3490, 0, [-0.024109,-0.076737,2.107535],[0.000000,0.000000,0.000000], [0.008670, 0.010520, -0.010507], 14, [4.412992, -0.823759, -0.156906], [-0.286907, -0.552608, 9.836486], [-170.000000, -25.000000, 1073.000000], [-112.596497, -226.135605, -559.617615],[0.449969,0.449338,0.450031,0.450662]]
DATA[3550, 0, [-0.056770,-0.065327,1.730236],[0.000000,0.000000,0.000000], [0.011172, -0.001005, -0.013502], 14, [-10.022396, -0.019613, -4.687579], [-0.903419, -0.652003, 9.867504], [-167.000000, 75.000000, 887.000000], [-52.871399, -465.278992, -511.621185],[0.449523,0.449583,0.450477,0.450417]]
DATA[3610, 0, [-0.060546,-0.021358,1.714374],[0.000000,0.000000,0.000000], [0.007113, -0.000860, -0.014551], 14, [-0.568786, -0.098067, -0.039227], [-0.667720, 0.339039, 10.485715], [-145.000000, -37.000000, -123.000000], [-44.059502, -532.319214, -586.168823],[0.499690,0.499741,0.500310,0.500259]]
DATA[3680, 0, [-0.088875,0.018094,2.115664],[0.000000,0.000000,0.000000], [0.002220, 0.043434, -0.037552], 14, [-0.078453, -0.843372, -0.117680], [-0.981755, 0.468280, 10.102744], [3.000000, -170.000000, 1130.000000], [-195.820007, -417.250214, -572.893188],[0.501214,0.498608,0.498786,0.501392]]
DATA[3750, 0, [-0.065216,0.015482,1.858847],[0.000000,0.000000,0.000000], [0.032588, 0.015146, -0.068510], 14, [-0.921825, -0.019613, -5.295591], [0.005303, -0.940113, 9.475659], [-33.000000, -39.000000, 1127.000000], [-104.763702, -479.287415, -530.002808],[0.499862,0.498484,0.500139,0.501516]]
DATA[3810, 0, [-0.018780,-0.009189,2.179116],[0.000000,0.000000,0.000000], [0.002191, -0.006819, -0.049086], 14, [-5.844764, -0.078453, -0.137293], [0.568077, 0.222542, 9.635451], [-141.000000, -14.000000, 1042.000000], [-244.774994, -360.216003, -499.366791],[0.499708,0.500117,0.500292,0.499883]]
DATA[3880, 0, [0.047543,0.019039,1.795379],[0.000000,0.000000,0.000000], [-0.007000, -0.019674, -0.020551], 14, [-0.294199, -0.882599, -0.058840], [0.893891, 0.549422, 9.690256], [24.000000, -111.000000, 1078.000000], [-100.847298, -362.217194, -409.501190],[0.499690,0.500870,0.500310,0.499130]]
DATA[3940, 0, [0.048837,0.030169,2.393289],[0.000000,0.000000,0.000000], [-0.034539, 0.052145, -0.012168], 14, [-5.570177, -0.862985, -3.000835], [0.409523, -0.348801, 9.138578], [58.000000, -49.000000, 1026.000000], [-251.628693, -227.136200, -396.225586],[0.502946,0.499817,0.497054,0.500183]]
DATA[4000, 0, [0.033004,0.027932,1.825558],[0.000000,0.000000,0.000000], [0.006269, 0.049106, -0.006350], 14, [-1.117958, -4.059953, -0.156906], [0.326465, 0.512603, 9.118780], [-141.000000, -10.000000, 1087.000000], [-88.119003, -287.172211, -507.536407],[0.501222,0.498276,0.498778,0.501724]]
DATA[4070, 0, [0.033946,0.039478,1.952916],[0.000000,0.000000,0.000000], [0.029651, 0.028909, -0.012483], 14, [3.177355, -0.490333, -13.709698], [0.127486, 0.480725, 9.616347], [85.000000, -109.000000, 1042.000000], [-125.324799, -286.171600, -551.447998],[0.499726,0.497790,0.500274,0.502210]]
DATA[4140, 0, [0.045736,0.024410,1.692861],[0.000000,0.000000,0.000000], [0.052214, 0.004797, -0.014212], 14, [-0.117680, -0.098067, -0.137293], [0.069675, -0.177439, 9.423077], [-245.000000, -254.000000, 1115.000000], [-92.035400, -566.339600, -511.621185],[0.498055,0.497768,0.501945,0.502232]]
DATA[4210, 0, [0.032719,-0.049639,1.723676],[0.000000,0.000000,0.000000], [0.019652, -0.006139, -0.014966], 14, [-3.079288, -0.156906, -10.551956], [0.398153, -1.550367, 8.823556], [-208.000000, -23.000000, 1131.000000], [-76.369797, -341.204590, -604.550415],[0.499030,0.499398,0.500970,0.500602]]
