
Thu Jan  1 00:15:54 1970

Flight Log #10
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[2400, 0, [0,0,0], [0.000764, 0.011148, -0.017257], [-9.649744, -0.176520, -0.098067], [-9.501899, 0.062213, 1.607977], [512.000000, -218.000000, -155.000000], [473, -234, 744]]
DATA[2460, 0, [0,0,0], [-0.000611, 0.012370, 0.017562], [-9.669357, -0.196133, 1.706357], [-9.518648, 0.057428, 1.588834], [512.000000, -223.000000, -153.000000], [474, -226, 742]]
DATA[2510, 0, [0,0,0], [-0.002291, 0.007178, 0.017410], [-9.688971, -0.117680, 1.647517], [-9.501899, 0.076570, 1.622334], [-3.000000, -219.000000, -153.000000], [478, -235, 737]]
DATA[2570, 0, [0,0,0], [-0.001374, 0.010537, -0.017410], [-9.708584, -0.156906, -0.019613], [-9.513863, 0.040678, 1.612762], [-1.000000, -221.000000, -151.000000], [471, -231, 742]]
DATA[2620, 0, [0,0,0], [-0.002291, 0.008705, 0.014966], [-9.610518, -0.196133, -0.137293], [-9.489935, 0.057428, 1.607977], [514.000000, -219.000000, -154.000000], [480, -237, 739]]
DATA[2670, 0, [0,0,0], [0.002596, 0.013744, -0.019548], [-9.669357, -0.196133, 1.647517], [-9.518648, 0.076570, 1.588834], [-3.000000, -220.000000, -149.000000], [479, -236, 745]]
DATA[2730, 0, [0,0,0], [-0.001833, 0.010385, 0.015424], [-9.669357, -0.196133, -0.117680], [-9.516255, 0.071785, 1.588834], [-2.000000, -222.000000, -153.000000], [473, -226, 739]]
DATA[2780, 0, [0,0,0], [0.001374, 0.013744, 0.014661], [-9.610518, -0.156906, 1.706357], [-9.506684, 0.066999, 1.603191], [513.000000, -219.000000, -157.000000], [478, -238, 734]]
DATA[2840, 0, [0,0,0], [0.000611, 0.012523, 0.018173], [-9.669357, -0.137293, 1.686744], [-9.504292, 0.062213, 1.584049], [512.000000, -221.000000, -154.000000], [470, -237, 750]]
DATA[2890, 0, [0,0,0], [0.001374, 0.016188, 0.014813], [-9.688971, -0.137293, -0.117680], [-9.485149, 0.086142, 1.622334], [-2.000000, -222.000000, -150.000000], [478, -229, 741]]
DATA[2950, 0, [0,0,0], [-0.004123, 0.007178, 0.017868], [-9.688971, -0.235360, -0.156906], [-9.494720, 0.062213, 1.593620], [-2.000000, -220.000000, -154.000000], [482, -236, 740]]
DATA[3010, 0, [0,0,0], [-0.001222, 0.009774, 0.016341], [-9.728197, -0.215746, 1.686744], [-9.506684, 0.066999, 1.617548], [512.000000, -221.000000, -154.000000], [469, -223, 735]]
