
Thu Jan  1 00:00:01 1970

Flight Log #5
ROVER: 'Rover Observation Vehicle for Enclosed Regions'
Flight Log - Format Version '0.1'
LEGEND:[rover_t, rover_status, [rover_orient], [rover_ex_gyro], [rover_ex_acc], [rover_int_acc], [rover_ex_mag], [rover_int_mag]]
DATA[1720, 0, [0,0,0], [-0.002596, -0.018479, 0.043219], [0.039227, -0.941438, -0.156906], [0.028714, -0.926022, 9.903893], [282.000000, 45.000000, -672.000000], [224, -32, 258]]
DATA[1760, 0, [0,0,0], [-0.029627, -0.017715, 0.040012], [0.019613, -0.019613, 10.081236], [-0.016750, -0.882952, 9.848858], [281.000000, 44.000000, -672.000000], [228, -39, 263]]
DATA[1810, 0, [0,0,0], [-0.011301, 0.019395, 0.041997], [-0.254973, -0.098067, 10.140077], [-0.031107, -0.904487, 9.956535], [279.000000, 46.000000, -670.000000], [227, -31, 259]]
DATA[1850, 0, [0,0,0], [-0.037568, -0.015424, 0.042761], [-0.176520, -0.098067, 10.159690], [-0.026321, -0.904487, 9.815358], [280.000000, 44.000000, -673.000000], [219, -37, 263]]
DATA[1890, 0, [0,0,0], [-0.026878, -0.015272, 0.039248], [0.117680, -0.902212, 10.061623], [0.016750, -0.875773, 9.865608], [279.000000, 39.000000, -673.000000], [229, -46, 257]]
DATA[1940, 0, [0,0,0], [-0.072082, -0.009468, -0.017715], [-0.215746, -1.235638, -0.098067], [-0.045464, -0.897308, 9.906285], [286.000000, 49.000000, -670.000000], [233, -42, 271]]
DATA[1980, 0, [0,0,0], [-0.065668, 0.013592, -0.003360], [-0.058840, -0.941438, -0.058840], [-0.055035, -0.914058, 9.815358], [284.000000, 45.000000, -670.000000], [223, -40, 265]]
DATA[2020, 0, [0,0,0], [-0.004581, 0.049327, -0.002596], [0.000000, -1.196411, 10.061623], [-0.107677, -0.945165, 9.865608], [285.000000, 48.000000, -670.000000], [221, -42, 258]]
DATA[2060, 0, [0,0,0], [-0.031307, 0.159436, -0.073457], [-0.039227, -0.843372, 10.140077], [-0.425922, -0.832702, 9.891929], [285.000000, 49.000000, -672.000000], [228, -36, 252]]
DATA[2100, 0, [0,0,0], [-0.070250, 0.016341, -0.111788], [-0.274586, -0.117680, 10.395049], [0.019143, -0.923630, 9.767502], [289.000000, 56.000000, -669.000000], [235, -34, 263]]
